,0,1,2,3,4,5,NumberOfNodes
112,B00004XMTS,0972031731,,,,,2
113,B000009O1U,079398257X,,,,,2
114,B00000JKMX,B00003IPFH,,,,,2
115,6302240840,6303284302,,,,,2
116,6302962056,6301767756,,,,,2
117,0792296176,,,,,,1
118,6302712998,,,,,,1
119,6302598869,,,,,,1
120,6302918928,,,,,,1
121,6300183289,,,,,,1
122,6302166918,,,,,,1
123,6301967380,,,,,,1
124,630017476X,,,,,,1
125,6304005946,,,,,,1
126,6300208605,,,,,,1
127,1573623474,,,,,,1
128,6303244017,,,,,,1
129,6302138817,,,,,,1
130,6302507251,,,,,,1
131,6302374057,,,,,,1
132,0767820630,,,,,,1
133,630196411X,,,,,,1
134,B00005LDCE,,,,,,1
135,6301262646,,,,,,1
136,B00005U8RP,,,,,,1
137,630430840X,,,,,,1
138,B00007D00J,,,,,,1
139,B0000633EX,,,,,,1
140,0790741040,,,,,,1
141,6302161444,,,,,,1
142,073600193X,,,,,,1
143,6305304866,,,,,,1
144,B00007LP8N,,,,,,1
145,B00004Y576,,,,,,1
146,0783217528,,,,,,1
147,6304425880,,,,,,1
148,B00006LI7K,,,,,,1
149,B000052220,,,,,,1
150,B00003BDZ9,,,,,,1
151,6303344259,,,,,,1
152,6302374294,,,,,,1
153,6303101194,,,,,,1
154,0767007751,,,,,,1
155,6303046495,,,,,,1
156,6302843529,,,,,,1
157,0965378780,,,,,,1
158,B000005I0X,,,,,,1
159,B00000680E,,,,,,1
160,0767832582,,,,,,1
161,B00000JQ8H,,,,,,1
162,6302277604,,,,,,1
163,630021348X,,,,,,1
164,0970015097,,,,,,1
165,6305538573,,,,,,1
166,6303186882,,,,,,1
167,B00004TBG5,,,,,,1
168,0792836413,,,,,,1
169,6301977580,,,,,,1
170,6304614071,,,,,,1
171,630448965X,,,,,,1
172,B0000640ZI,,,,,,1
173,B0000640ZT,,,,,,1
174,6302485061,,,,,,1
175,0964769832,,,,,,1
176,0767603419,,,,,,1
177,B00006RCQG,,,,,,1
178,6302749336,,,,,,1
179,B000055ZL3,,,,,,1
180,6305198152,,,,,,1
181,6304159242,,,,,,1
182,B00000JNTO,,,,,,1
183,6305214190,,,,,,1
184,B00000JQUY,,,,,,1
185,B00000JQUZ,,,,,,1
186,B00004TJL1,,,,,,1
187,6303184219,,,,,,1
188,0792837991,,,,,,1
189,6301969294,,,,,,1
190,0783215096,,,,,,1
191,B00005RJ1G,,,,,,1
192,6303459978,,,,,,1
193,0769720668,,,,,,1
194,1583500529,,,,,,1
195,0788810677,,,,,,1
196,B00000F0G1,,,,,,1
197,6301978706,,,,,,1
198,6302919673,,,,,,1
199,B00000DHKE,,,,,,1
200,6302969824,,,,,,1
201,0964083817,,,,,,1
202,0773343032,,,,,,1
203,6304040342,,,,,,1
204,6302918863,,,,,,1
205,B00004WG5N,,,,,,1
206,6300213420,,,,,,1
207,630098866X,,,,,,1
208,6304196717,,,,,,1
209,6301415477,,,,,,1
210,B00005MKMY,,,,,,1
211,1558802339,,,,,,1
212,6305076685,,,,,,1
213,0783224885,,,,,,1
214,6301706498,,,,,,1
215,B000056AYW,,,,,,1
216,6300184048,,,,,,1
217,B000006D2X,,,,,,1
218,1560396113,,,,,,1
219,6302719038,,,,,,1
220,B000056WSO,,,,,,1
221,B00000F7LM,,,,,,1
222,0967699908,,,,,,1
223,B00005M2HK,,,,,,1
224,B00005Q2YI,,,,,,1
225,B00005M2H9,,,,,,1
226,6304328605,,,,,,1
227,6305338175,,,,,,1
228,6303284027,,,,,,1
229,630021351X,,,,,,1
230,6300218120,,,,,,1
231,6301810678,,,,,,1
232,6302824494,,,,,,1
233,B00001W9G7,,,,,,1
234,6304263198,,,,,,1
235,078001913X,,,,,,1
236,B00005U8QQ,,,,,,1
237,B00005U8QR,,,,,,1
238,B00005U8QY,,,,,,1
239,6304683235,,,,,,1
240,6301627024,,,,,,1
241,6303231837,,,,,,1
242,6303257739,,,,,,1
243,630419935X,,,,,,1
244,B00000IRDS,,,,,,1
245,B00004UCXH,,,,,,1
246,6304586809,,,,,,1
247,B000009CQS,,,,,,1
