,0,1,2,NumberOfNodes
62,B00000I1RQ,6302777275,,2
63,0769720633,6301767756,,2
64,630196411X,B00006LI7K,,2
65,6304025912,B00005LDCE,,2
66,0784001804,1571320377,,2
67,B00005U8RV,B00001W9G7,,2
68,B0000640ZV,0769720641,,2
69,6304586809,6302843200,,2
70,B00007D00J,B00004WG5O,,2
71,B00005092O,0767007751,,2
72,B00006IQ9Y,6302378702,,2
73,6301706498,B00000JYX4,,2
74,6302161452,B0000633EW,,2
75,6304525753,0764000969,,2
76,B00004YZH4,0767011570,,2
77,B00000JQUX,B00004YZH0,,2
78,6304393075,B0000640ZU,,2
79,6302161444,B000065B20,,2
80,B00004TBG5,B000058TMK,,2
81,6305304866,0792158369,,2
82,B000062XKR,6302282535,,2
83,B000062XKN,B00004TJL1,,2
84,B00000FD84,0967539005,,2
85,6301313941,6302240840,,2
86,6304494335,6304499205,,2
87,6302878772,6303671764,,2
88,B000006QYD,6300181804,,2
89,6301942655,6305121702,,2
90,6302872243,6304561717,,2
91,6301536940,B00005B6NJ,,2
92,B00005U8QQ,B00005B6NF,,2
93,1578071321,B00000JNTO,,2
94,6304092040,6301736303,,2
95,6302369037,6302957532,,2
96,B00000JQUZ,0783240562,,2
97,1888568003,B000066TOM,,2
98,6302605148,6302492696,,2
99,B00005BCOU,B00005NGD0,,2
100,6304308612,6303939015,,2
101,0967699908,B000067D0J,,2
102,6302503779,6301328175,,2
103,B000089QAI,6302843529,,2
104,B0000640ZT,B000056F1J,,2
105,6303435513,6301805046,,2
106,0783215096,0967830206,,2
107,6300987493,B000006PFD,,2
108,1572523360,B00005NGDO,,2
109,6303223400,6304744269,,2
110,6303257739,6303924670,,2
111,B00000IBKK,B00004STC6,,2
112,B00004STCU,0790731339,,2
113,6300269485,6301976460,,2
114,6302460247,0784015082,,2
115,6303687261,6305214220,,2
116,B00005AXA7,B0000065M2,,2
117,630439604X,6305149844,,2
118,B00000F25H,6302946549,,2
119,6304191006,6301963644,,2
120,6303382967,B00006JMTR,,2
121,0783224885,6300269310,,2
122,B00000JQ8G,B00002JWZK,,2
123,1568121393,B00004RBNU,,2
124,0767813227,0792145194,,2
125,6300269582,B00004RF5A,,2
126,B000059YSC,0790749343,,2
127,6302824494,6303816363,,2
128,B00007FCTN,6303284302,,2
129,0792839234,0792844629,,2
130,B00004RBNV,0767832582,,2
131,6302424712,B00005RJ1Y,,2
132,B00002E24F,B00004TTI1,,2
133,6301415477,6303095151,,2
134,0790739720,0964083817,,2
135,B0000640ZI,B00000JQ8M,,2
136,B00000JWWC,B000065ETM,,2
137,6303102492,6303459978,,2
138,630443815X,B00000IRDW,,2
139,1578071984,6301976576,,2
140,B00006JMTV,6304029977,,2
141,6303954294,0793903343,,2
142,6300218120,0792845919,,2
143,B00004UCXI,6301763300,,2
144,B00005ICEH,B00004TTI2,,2
145,6302316480,6305214190,,2
146,6300184048,B00004TJLI,,2
147,6303184219,6304366043,,2
148,6303467830,073603739X,,2
149,0788810677,6302049008,,2
150,0945671873,B00000F0G1,,2
151,073603417X,B000062XJ6,,2
152,B000068TSN,6304907621,,2
153,B00004XMTS,0972031731,,2
154,B00005Q2YI,6302918863,,2
155,B00004WG5N,B00005U8QR,,2
156,6303048927,B00000IRDS,,2
157,6304907354,B00005U8QY,,2
158,6304185537,6303418872,,2
159,6304196717,B000056WSO,,2
160,6304683235,B000056AY9,,2
161,6302987865,B000056AYW,,2
162,B000059YSB,1568551797,,2
163,B000056WSS,6305337659,,2
164,B00000JKMX,B00003IPFH,,2
165,B00005M2H9,6303654223,,2
166,B00007M5I4,076701135X,,2
167,630021351X,6303389546,,2
168,6300208613,6304945760,,2
169,0767001346,B00004LC7T,,2
170,6304684681,6303675441,,2
171,0792296176,,,1
172,6302598869,,,1
173,6302918928,,,1
174,6301722272,,,1
175,6300183289,,,1
176,6302824990,,,1
177,6300208605,,,1
178,6301253779,,,1
179,6302101220,,,1
180,6302374057,,,1
181,6304288875,,,1
182,B000053VCG,,,1
183,6301766377,,,1
184,6305237220,,,1
185,6301262646,,,1
186,B00005U8RP,,,1
187,6305180822,,,1
188,B0000633EX,,,1
189,0790741040,,,1
190,6301987837,,,1
191,0783217528,,,1
192,6304425880,,,1
193,B000052220,,,1
194,B00000J30K,,,1
195,6300184889,,,1
196,B000006QY7,,,1
197,6304660251,,,1
198,B00005AXAN,,,1
199,B00005AXA8,,,1
200,6303101194,,,1
201,6303046495,,,1
202,0965378780,,,1
203,B000005I0X,,,1
204,B00000680E,,,1
205,6305495483,,,1
206,0789421550,,,1
207,6300215466,,,1
208,B00000JQ8J,,,1
209,B00000JQ8H,,,1
210,630447444X,,,1
211,630021348X,,,1
212,0970015097,,,1
213,6303186882,,,1
214,0792836413,,,1
215,6301977580,,,1
216,6304614071,,,1
217,630448965X,,,1
218,0767603419,,,1
219,6302749336,,,1
220,B000055ZL3,,,1
221,B00005ICEG,,,1
222,B00000JQUY,,,1
223,0792837991,,,1
224,B00005RJ1G,,,1
225,6302786991,,,1
226,0769720668,,,1
227,B00002ND7Y,,,1
228,1583500529,,,1
229,B00000DHKE,,,1
230,6302969824,,,1
231,6304040342,,,1
232,B00001MXWW,,,1
233,630098866X,,,1
234,B000055Y1C,,,1
235,B000009O1U,,,1
236,B000059YSD,,,1
237,6300216632,,,1
238,6303052703,,,1
239,B000006D2X,,,1
240,1560396113,,,1
241,6302719038,,,1
242,B00000F7LM,,,1
243,B00005M2HK,,,1
244,B00005Q2YK,,,1
245,6304328605,,,1
246,1578071445,,,1
247,B00006FMXB,,,1
248,6305338175,,,1
249,6303284027,,,1
250,6303218814,,,1
251,6303321011,,,1
252,B00005A8S4,,,1
253,6301810678,,,1
254,1893907007,,,1
255,6305191794,,,1
256,6304263198,,,1
257,078001913X,,,1
258,B00007M5IH,,,1
259,B00001WRIK,,,1
260,6302450179,,,1
261,B00000JWWX,,,1
262,B000062XJ5,,,1
263,6301627024,,,1
264,630419935X,,,1
265,6302962056,,,1
266,B000009CQS,,,1
