,0,1,2,3,NumberOfNodes
80,B000063V8U,B00007M5HU,0792846087,,3
81,B00006L9ZU,B00004TX06,B00005QBYW,,3
82,B000085EFA,B00005QBYA,6305417830,,3
83,6305054002,B00006BS70,B000060MVP,,3
84,B000062XFY,B000069AT7,B00006DXXT,,3
85,B00005OBAH,0790734850,B00006FDAW,,3
86,B0000687BN,B00007AJEE,B000051XK1,,3
87,B0000687BQ,B000065U3C,B0000372I3,,3
88,B000065U3G,B00005YUO9,B000060MV6,,3
89,B00005JKHN,0767817680,B00005YUOB,,3
90,B00005LDDE,B00005YUOC,6305291470,,3
91,B00007AJE5,6305609241,B00005YUOA,,3
92,B000060MV1,B00005RDAF,B000053UIE,,3
93,B00005TPL2,6305474842,B000060MVZ,,3
94,B000060MVX,B000060MVB,6305020744,,3
95,B000060MVV,B000060MVD,B00005B1ZV,,3
96,B00002JWZE,B000067IVT,B000085EFK,,3
97,B00008H2MY,B000063K1F,6305182051,,3
98,B00005QBY9,B000085EFN,B000063V8I,,3
99,6305871078,B000063K14,B00007AJE3,,3
100,B000035Z38,B00005TPLY,B00006FDA0,,3
101,0773313516,B00005RDAJ,B00005NTO4,,3
102,B00006SFJP,B000063K15,B00008G8OX,,3
103,B000089765,079215455X,B00005JKHP,,3
104,B00007FCTQ,B00005LDDD,B00005BJPQ,,3
105,6305784892,B000063V8G,B00006SFJ8,,3
106,B00006LPAU,B00006FDAX,1559409061,,3
107,157132528X,B00000K31V,B00008VX40,,3
108,B00000IC89,B000053GTH,,,2
109,B00007AJE8,B00000IC8Z,,,2
110,B000050X32,B000063K13,,,2
111,6305771111,B000050X31,,,2
112,B000077VQD,B00000IC81,,,2
113,B00005AWQT,B000056PPH,,,2
114,B000056N8T,B00006JMSP,,,2
115,0767018877,B000056N8H,,,2
116,0790742853,B00005UQ7P,,,2
117,B00004I9Z1,B00008CMT0,,,2
118,B00005ALLX,B00005NTOE,,,2
119,B00007G1V8,B00005NB97,,,2
120,B00005NB94,B00000JNTX,,,2
121,B00006BS7R,B00005NB93,,,2
122,B000059H1R,B00006DXXV,,,2
123,B00005NB9X,6305199329,,,2
124,B00006FDAN,B00004ST9Q,,,2
125,B00000JWVS,B00005A8TW,,,2
126,B00005Y6Y6,B00005A8TX,,,2
127,B00005A8TU,B000060MWA,,,2
128,6305334854,6305301999,,,2
129,B00006LU73,0783226845,,,2
130,B00007G1VI,B00006JMSO,,,2
131,B00005AXAG,B00006JMSV,,,2
132,B00005Y1NF,B00003CY57,,,2
133,B00006JMS0,B00005TPLW,,,2
134,6305079161,B00000JNTT,,,2
135,B000053UIF,6305915695,,,2
136,6304604572,B00005JLL1,,,2
137,B000067IVR,6305466882,,,2
138,6305433860,6305558205,,,2
139,B00005NB9T,B00006HAX6,,,2
140,B00007FYQF,B00003CY5J,,,2
141,B00000G0DU,B00008G6GI,,,2
142,B00001TZ6K,6305936846,,,2
143,B00005JKH9,B00000IBQ0,,,2
144,6304698518,B00000IBQ1,,,2
145,B00006FDAZ,B00005T30M,,,2
146,B00005AXAI,B00005T30H,,,2
147,B00005T30G,B000055ZLC,,,2
148,6305906947,B00005T307,,,2
149,B000055ZLE,B00005T302,,,2
150,630587073X,6305186626,,,2
151,6305505802,B00000I1RH,,,2
152,B0000507OO,B00008J2EB,,,2
153,B00008KGT0,B00006BS7N,,,2
154,B00005V9IK,B00004WC63,,,2
155,B00005NVDH,B00000F3U0,,,2
156,630523650X,B00005KAQ9,,,2
157,B00000JQU9,B00000I1RM,,,2
158,B00000K31U,B0000509C1,,,2
159,B00004R99Y,B00006BS78,,,2
160,6305907161,1573300403,,,2
161,B00004WLVS,B000067J3E,,,2
162,B000060MVA,B00005B3Z1,,,2
163,B00006L9ZY,6305337373,,,2
164,B00006BS7Q,6305871302,,,2
165,B00006BS7P,B00005YUO1,,,2
166,1573307211,6305944334,,,2
167,B00006FDAP,B00005OBAN,,,2
168,B0000687BL,B00001U0GQ,,,2
169,0767824555,B00005YUOO,,,2
170,B00008973H,B00005QBYZ,,,2
171,6305954240,B00007AJE1,,,2
172,B00005NTOG,6305191883,,,2
173,B00005KA70,B000068U03,,,2
174,B00006JMSQ,1896306985,,,2
175,0792164962,B00000JT9A,,,2
176,B000060MV8,6305811687,,,2
177,6305975035,B000060MVU,,,2
178,B00005AXAB,B000060MVW,,,2
179,B000060MVH,B00006JMT3,,,2
180,B000055ZL5,B000060MVN,,,2
181,B00006JDVZ,1565957008,,,2
182,6305467277,B00006FDA4,,,2
183,B000067IVS,B00007AJEI,,,2
184,B00007G1V7,B00004TX05,,,2
185,B00005QBYT,B00006FDAK,,,2
186,B00005QBYQ,B00005KAQU,,,2
187,B00005AXA1,B00007K025,,,2
188,B00007AJEO,6305428298,,,2
189,B000067D0L,B00005RDAO,,,2
190,B000089QAQ,B00005TPL1,,,2
191,B000085EFG,B000089QAO,,,2
192,B00006JDU8,0782010660,,,2
193,6305741018,0792839749,,,2
194,B00005RDAP,B00005TPLX,,,2
195,B000063K17,6305907595,,,2
196,B00007E1NB,B00005KAQS,,,2
197,B000063K1J,B00004RETB,,,2
198,B00005JL1V,B000063K1U,,,2
199,B000063K1Q,0792844882,,,2
200,B00002VW8L,B00005LDDB,,,2
201,B00000K31S,6305519072,,,2
202,6305133131,B00007FCTM,,,2
203,B00004Z4RO,B00005RDAI,,,2
204,6304795254,B000063V8M,,,2
205,6305161461,B00006FDAQ,,,2
206,B00006FDAU,B00005NTOH,,,2
207,B00007E1NC,B00006FDAB,,,2
208,6305325812,6305408998,,,2
209,B00008W2MK,0738900370,,,2
210,B00005B34Z,B00002VW7Q,,,2
211,B00005JKHX,B000096IAI,,,2
212,B000096IAU,B00007AJEP,,,2
213,B00004REJN,B00007AJEN,,,2
214,B000053GTF,B00003W8NS,,,2
215,B00005JKH5,B00009MEKQ,,,2
216,B000068U02,B000063V8T,,,2
217,B00004RFI7,,,,1
218,6305908028,,,,1
219,B00004RFIF,,,,1
220,B000063JZW,,,,1
221,B000063JZI,,,,1
222,B000056N8P,,,,1
223,B000056N8W,,,,1
224,B00005O438,,,,1
225,B00005NB96,,,,1
226,B00005NB95,,,,1
227,B00005NB92,,,,1
228,B00005NB90,,,,1
229,B00006DXXU,,,,1
230,B00005NB9Z,,,,1
231,B00005A8TV,,,,1
232,0783227981,,,,1
233,6304993838,,,,1
234,B00004TKIC,,,,1
235,B00005QCU0,,,,1
236,B00005NKBW,,,,1
237,6305131147,,,,1
238,B000055WDG,,,,1
239,B00008DDGB,,,,1
240,B00000IBQ5,,,,1
241,B00005T30L,,,,1
242,B00005T30X,,,,1
243,B00005T30V,,,,1
244,0792841670,,,,1
245,B000067G16,,,,1
246,B000067G10,,,,1
247,B00000JYX5,,,,1
248,B00004R99B,,,,1
249,6305744815,,,,1
250,B00005OBAK,,,,1
251,B00005OBAL,,,,1
252,B0000687BO,,,,1
253,B00005YUOQ,,,,1
254,B00005YUON,,,,1
255,B00005KA73,,,,1
256,0783229399,,,,1
257,6305511055,,,,1
258,B000060MVQ,,,,1
259,B000060MVT,,,,1
260,B000060MVI,,,,1
261,B000060MVK,,,,1
262,B000060MVL,,,,1
263,6305519471,,,,1
264,B000021Y7K,,,,1
265,B000067IVX,,,,1
266,B00007G1VK,,,,1
267,0767827635,,,,1
268,B00007G1V3,,,,1
269,B00000J30I,,,,1
270,B000065AYV,,,,1
271,6304602871,,,,1
272,B000065AYX,,,,1
273,B00000JJHL,,,,1
274,B00006IUFW,,,,1
275,B00006IUFU,,,,1
276,B00006IUFQ,,,,1
277,B000068GQY,,,,1
278,6305989397,,,,1
279,B00006WV6Z,,,,1
280,B00005KAQJ,,,,1
281,B000063K1C,,,,1
282,B000063K1S,,,,1
283,B000075SNH,,,,1
284,B00007G1TX,,,,1
285,1929732031,,,,1
286,B000094J8B,,,,1
287,B00005LDDC,,,,1
288,B00008XS0U,,,,1
289,B00005B34Y,,,,1
290,B00004TJ0I,,,,1
291,B00005JL78,,,,1
292,B00005ICEE,,,,1
293,B00006JDUW,,,,1
294,6305732248,,,,1
295,6305701202,,,,1
296,B000031EFY,,,,1
297,B00000K31T,,,,1
298,B00007AJE2,,,,1
299,B00007AJE7,,,,1
300,B00007AJEH,,,,1
301,B00007AJEK,,,,1
302,B00007AJEA,,,,1
303,6305537348,,,,1
304,B00000F4L7,,,,1
305,B00002ND77,,,,1
306,0767821548,,,,1
307,B000068U01,,,,1
