,nodeId,Id,ASIN,group,salesrank,totalSimilar,s1,s2,s3,s4,s5,totalReview,avgRate,totalVote,visited,v1,v2,v3,v4,v5
54,54,1077,030714335X,Video,7395,1,,,,,353199,3,5.0,40,6,0.0,0.0,0.0,0.0,0.0
55,55,1114,6301267788,Video,39274,2,,134479,421604,,,0,0.0,0,4,0.0,10.0,38.0,0.0,0.0
56,56,1128,6302918928,Video,1839,1,416730,,,,,5,3.5,66,2,53.0,0.0,0.0,0.0,0.0
57,57,1192,6301722272,Video,3889,2,,252480,499304,,,1,5.0,25,10,0.0,29.0,23.0,0.0,0.0
58,58,1263,6300183289,Video,4411,1,,,,,425819,14,3.5,98,2,0.0,0.0,0.0,0.0,44.0
65,65,1295,B000056N8D,Video,17094,1,,534721,,,,11,3.5,25,4,0.0,4.0,0.0,0.0,0.0
66,66,1307,1565015991,Video,36378,1,,367404,,,,0,0.0,0,1,0.0,125.0,0.0,0.0,0.0
69,69,1321,6302166918,Video,25688,2,356103,,,198835,,4,3.0,13,4,30.0,0.0,0.0,8.0,0.0
72,72,1438,1567301193,Video,12500,1,,247598,,,,9,5.0,36,5,0.0,45.0,0.0,0.0,0.0
80,80,1698,6302796857,Video,424,2,,75249,,435300,,28,4.5,251,4,0.0,71.0,0.0,396.0,0.0
83,83,1767,6304304188,Video,12687,1,,,,,527605,9,3.0,34,2,0.0,0.0,0.0,0.0,46.0
85,85,1814,6301967380,Video,9127,3,360522,,330468,285028,,6,4.5,22,6,90.0,0.0,18.0,8.0,0.0
93,93,2069,0738920916,Video,3266,4,98761,175000,,175002,142449,3,3.5,65,7,412.0,23.0,0.0,25.0,100.0
94,94,2100,630017476X,Video,13224,2,201961,90506,,,,5,5.0,7,2,20.0,18.0,0.0,0.0,0.0
95,95,2134,6303975704,Video,30499,2,464005,,,51814,,5,4.5,27,4,43.0,0.0,0.0,85.0,0.0
96,96,2136,B00004RF5N,Video,7449,1,91978,,,,,10,3.5,208,15,330.0,0.0,0.0,0.0,0.0
100,100,2288,6304005946,Video,15176,3,,188312,260307,286012,,16,5.0,82,4,0.0,18.0,0.0,237.0,0.0
101,101,2321,0940871327,Video,22265,1,,,,,311811,2,5.0,3,1,0.0,0.0,0.0,0.0,59.0
102,102,2334,6304945175,Video,2499,1,,,,428444,,4,5.0,74,6,0.0,0.0,0.0,25.0,0.0
103,103,2335,6302824990,Video,27017,4,423156,419729,185828,,372017,7,5.0,18,8,3.0,24.0,13.0,0.0,2.0
104,104,2337,6303092020,Video,13158,1,,169653,,,,3,5.0,17,2,0.0,12.0,0.0,0.0,0.0
106,106,2359,6302161401,Video,9631,3,,346553,,82235,265222,7,5.0,65,3,0.0,53.0,0.0,3.0,26.0
107,107,2375,6301320417,Video,20523,5,245428,399014,285498,359848,269905,3,4.0,9,12,26.0,7.0,18.0,13.0,47.0
108,108,2415,6300208605,Video,2971,3,24848,259070,298834,,,2,3.0,1,14,8.0,42.0,19.0,0.0,0.0
110,110,2439,0788822721,Video,4444,1,,,491956,,,15,5.0,71,6,0.0,0.0,24.0,0.0,0.0
111,111,2444,6303852637,Video,30585,2,270538,261803,,,,2,4.5,6,4,41.0,25.0,0.0,0.0,0.0
113,113,2573,6304474121,Video,15478,3,504701,,511126,,534207,1,5.0,4,5,6.0,0.0,0.0,0.0,11.0
117,117,2672,6301576152,Video,44285,3,81991,,333647,881,,13,3.5,19,6,3.0,0.0,38.0,34.0,0.0
122,122,2797,0792146220,Video,27565,4,501124,472962,,497828,140476,5,4.0,27,14,46.0,17.0,0.0,30.0,34.0
126,126,2823,B00004UEEA,Video,43777,1,,122641,,,,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
129,129,2921,6303647073,Video,25626,5,426997,535800,375370,43900,262663,8,3.0,58,6,115.0,70.0,28.0,94.0,38.0
133,133,2939,B00000JNTB,Video,38662,3,540221,,1192,149207,,1,1.0,2,5,16.0,0.0,25.0,0.0,0.0
136,136,2956,B00000JNTV,Video,25605,3,377943,,91978,504307,,6,2.5,70,5,172.0,0.0,330.0,82.0,0.0
137,137,2961,630302663X,Video,18655,3,,463461,,204029,380456,9,4.0,104,9,0.0,13.0,0.0,52.0,9.0
140,140,2970,6305276854,Video,16560,4,134178,443746,,51956,61886,27,3.0,20,9,39.0,61.0,0.0,18.0,31.0
144,144,3175,6301253779,Video,1630,2,,43490,510930,,,0,0.0,0,4,0.0,30.0,62.0,0.0,0.0
147,147,3248,1573623474,Video,13937,5,486280,110187,108911,239731,481367,3,2.5,9,13,4.0,18.0,22.0,11.0,30.0
154,154,3406,6303584934,Video,7543,5,71046,381605,519021,366849,134786,7,4.0,11,14,69.0,92.0,66.0,89.0,64.0
156,156,3409,6304475152,Video,4370,5,61541,9721,359017,347529,71190,4,4.5,24,9,21.0,0.0,30.0,20.0,75.0
157,157,3429,6303244017,Video,28141,2,,519040,29672,,,1,5.0,0,4,0.0,2.0,73.0,0.0,0.0
158,158,3457,1563643278,Video,35478,1,207535,,,,,2,3.0,12,2,72.0,0.0,0.0,0.0,0.0
159,159,3464,6304073496,Video,24375,4,355231,105174,126775,,205091,5,4.0,50,7,6.0,39.0,44.0,0.0,0.0
162,162,3522,B00002EPG7,Video,21363,1,,,,368424,,43,3.5,254,1,0.0,0.0,0.0,90.0,0.0
163,163,3534,6302101220,Video,9638,3,,309619,210060,77128,,16,4.5,95,11,0.0,51.0,21.0,25.0,0.0
167,167,3577,6302138817,Video,14562,2,316757,213706,,,,11,4.5,48,3,50.0,70.0,0.0,0.0,0.0
171,171,3655,1585651052,Video,30222,5,110246,202257,122618,529301,428603,1,3.0,16,6,100.0,0.0,50.0,31.0,126.0
172,172,3696,6302507251,Video,27934,2,522276,,205731,,,17,4.0,53,5,28.0,0.0,24.0,0.0,0.0
177,177,3827,6302374057,Video,13149,1,99449,,,,,7,4.5,42,2,61.0,0.0,0.0,0.0,0.0
180,180,3903,6304291752,Video,464,3,346510,147465,113500,,,93,4.5,1016,8,454.0,324.0,809.0,0.0,0.0
181,181,3905,6304288875,Video,22915,3,367110,264644,182668,,,4,5.0,21,6,1.0,5.0,0.0,0.0,0.0
185,185,4016,630098687X,Video,16856,3,147717,282824,,,496172,5,3.5,52,8,121.0,58.0,0.0,0.0,129.0
189,189,4092,6303203922,Video,20434,4,341575,,104191,413419,128901,4,4.5,75,10,20.0,0.0,111.0,20.0,68.0
191,191,4177,630344461X,Video,51651,4,,9179,144982,352994,489117,1,5.0,1,4,0.0,15.0,20.0,15.0,26.0
193,193,4193,B000053VCO,Video,58560,4,47049,346701,524878,4632,,2,4.0,1,4,0.0,11.0,139.0,105.0,0.0
196,196,4219,B000053VCG,Video,12637,1,,,130900,,,42,3.5,306,1,0.0,0.0,210.0,0.0,0.0
201,201,4268,6301766377,Video,4348,2,190981,,247373,,,4,5.0,46,3,15.0,0.0,19.0,0.0,0.0
205,205,4374,0767820630,Video,25377,2,35898,335035,,,,1,5.0,8,3,20.0,2.0,0.0,0.0,0.0
207,207,4440,0780620097,Video,13597,5,288241,494041,425725,401802,449540,2,4.5,24,8,39.0,17.0,4.0,35.0,9.0
210,210,4498,6303890385,Video,24566,2,,,,416535,531215,6,4.0,26,5,0.0,0.0,0.0,102.0,15.0
217,217,4600,6305237220,Video,24438,3,,241540,354107,404217,,11,5.0,47,3,0.0,12.0,33.0,12.0,0.0
218,218,4632,6302777275,Video,530,2,397295,,,192449,,14,5.0,105,17,191.0,0.0,0.0,127.0,0.0
223,223,4812,0769720633,Video,35602,4,519619,124677,5572,19421,,2,3.0,12,4,195.0,30.0,14.0,13.0,0.0
224,224,4828,630196411X,Video,3081,4,528708,129739,,397531,396872,6,3.5,24,10,21.0,23.0,0.0,33.0,37.0
226,226,4852,6303471234,Video,28339,5,20773,173670,369245,369246,369249,0,0.0,0,11,16.0,2.0,29.0,22.0,25.0
235,235,5081,B00005LDCE,Video,45789,4,85382,500861,500865,,379869,11,4.5,38,4,57.0,43.0,22.0,0.0,116.0
236,236,5089,0784001804,Video,2412,1,450637,,,,,11,4.0,75,4,213.0,0.0,0.0,0.0,0.0
238,238,5144,6301262646,Video,34595,2,384172,,,,350077,3,4.5,0,3,12.0,0.0,0.0,0.0,0.0
245,245,5409,B00005U8R7,Video,3516,2,5464,26772,,,,2,4.5,24,4,46.0,31.0,0.0,0.0,0.0
247,247,5452,B00005U8RP,Video,14893,4,132288,242539,132289,143158,,5,3.0,23,8,10.0,4.0,37.0,7.0,0.0
248,248,5453,B00005U8RQ,Video,8968,5,132278,132284,242538,96792,36843,12,4.5,113,10,73.0,90.0,39.0,85.0,72.0
249,249,5456,B00005U8RV,Video,29759,5,352091,143159,68431,324084,197797,0,0.0,0,9,7.0,0.0,0.0,2.0,0.0
252,252,5464,B00005U8RA,Video,13972,3,5409,414100,,,250523,3,4.5,46,7,24.0,110.0,0.0,0.0,125.0
260,260,5572,0769720641,Video,35476,4,19421,124677,519619,,149202,1,1.0,14,7,13.0,30.0,195.0,0.0,21.0
269,269,5926,630430840X,Video,13140,1,,234914,,,,27,4.5,188,1,0.0,118.0,0.0,0.0,0.0
275,275,6077,1561278483,Video,31598,4,266292,485319,,38173,299274,2,4.5,6,6,48.0,55.0,0.0,65.0,15.0
276,276,6098,6302843200,Video,4650,0,,,,,,18,4.5,94,6,0.0,0.0,0.0,0.0,0.0
283,283,6304,B00000I1RQ,Video,17725,4,53528,127782,,431507,431508,2,3.0,4,8,1.0,0.0,0.0,1.0,3.0
286,286,6360,B00007D00J,Video,6280,3,,129810,364656,67256,,2,3.0,67,3,0.0,191.0,915.0,3407.0,0.0
289,289,6452,B00005092O,Video,10198,1,,427813,,,,0,0.0,0,2,0.0,0.0,0.0,0.0,0.0
291,291,6510,6302378702,Video,21361,3,212865,,,7152,396102,11,4.0,34,8,17.0,0.0,0.0,295.0,272.0
296,296,6608,B00000JYX4,Video,29551,4,,441227,379642,441224,251011,1,5.0,22,7,0.0,14.0,0.0,0.0,0.0
297,297,6624,6305180822,Video,4581,2,427601,,,12464,,8,4.5,15,5,103.0,0.0,0.0,0.0,0.0
300,300,6691,B0000633EX,Video,19799,2,6696,534147,,,,5,5.0,19,5,41.0,15.0,0.0,0.0,0.0
301,301,6696,B0000633EW,Video,22431,1,6691,,,,,9,5.0,41,2,19.0,0.0,0.0,0.0,0.0
304,304,6751,6304525753,Video,5730,3,,537701,444392,500702,,2,5.0,27,4,0.0,13.0,30.0,10.0,0.0
316,316,6799,192973221X,Video,1830,2,,,496271,300731,,34,4.0,345,29,0.0,0.0,139.0,315.0,0.0
320,320,6866,B00004YZH4,Video,13936,1,,,,,184237,3,3.5,23,1,0.0,0.0,0.0,0.0,439.0
321,321,6867,B00004YZH0,Video,274,3,126333,362576,,170227,,21,4.5,506,12,165.0,1908.0,0.0,24.0,0.0
322,322,6870,B00004YZH1,Video,1827,1,,170229,,,,119,4.5,1926,1,0.0,114.0,0.0,0.0,0.0
324,324,6932,0790741040,Video,16258,2,350237,,,,57021,7,4.5,37,2,38.0,0.0,0.0,0.0,53.0
333,333,7105,6305565724,Video,3672,3,541904,,117712,,47176,29,4.5,29,3,68.0,0.0,32.0,0.0,38.0
337,337,7152,6304393075,Video,130,1,,,,,90506,43,4.5,295,9,0.0,0.0,0.0,0.0,18.0
338,338,7154,6302161444,Video,4763,4,27672,496814,162784,92416,,5,4.0,415,9,261.0,75.0,396.0,45.0,0.0
342,342,7208,B000065B20,Video,14606,1,,,,461220,,13,4.0,64,1,0.0,0.0,0.0,80.0,0.0
343,343,7249,B000058TMK,Video,14651,2,,46896,,504302,,6,4.0,52,3,0.0,35.0,0.0,54.0,0.0
347,347,7323,073600193X,Video,32557,2,189701,423134,,,,1,5.0,6,4,25.0,20.0,0.0,0.0,0.0
351,351,7445,6303548946,Video,15599,4,352531,,404638,99727,198608,20,4.0,159,7,24.0,0.0,23.0,157.0,105.0
360,360,7611,6305304866,Video,21914,1,,203225,,,,12,5.0,34,1,0.0,174.0,0.0,0.0,0.0
361,361,7646,B000062XKR,Video,1089,5,529105,427724,313220,111698,179920,1,5.0,6,8,10.0,83.0,15.0,60.0,3.0
362,362,7651,B000062XKN,Video,261,3,502010,,112685,404319,,2,5.0,4,17,3.0,0.0,64.0,19.0,0.0
367,367,7762,B00007LP8N,Video,7397,3,,,531404,303137,147159,1,4.0,13,4,0.0,0.0,8.0,52.0,14.0
382,382,7986,6302712971,Video,5088,3,162295,,399436,,879,0,0.0,0,4,0.0,0.0,9.0,0.0,0.0
385,385,8026,B00004Y576,Video,11076,3,,137545,,122666,46711,0,0.0,0,4,0.0,46.0,0.0,51.0,9.0
393,393,8116,6301987837,Video,17671,4,,333376,540119,364287,77626,7,4.0,61,11,0.0,41.0,41.0,75.0,18.0
396,396,8193,0967539005,Video,32306,1,471386,,,,,4,5.0,21,2,4.0,0.0,0.0,0.0,0.0
398,398,8217,6302874629,Video,36417,1,485543,,,,,3,4.0,18,2,25.0,0.0,0.0,0.0,0.0
402,402,8276,6301313941,Video,47889,3,220145,,,179916,497025,1,5.0,4,3,27.0,0.0,0.0,7.0,68.0
403,403,8300,0783217528,Video,4913,1,,,,,467609,16,5.0,71,1,0.0,0.0,0.0,0.0,103.0
404,404,8368,6304494335,Video,21783,1,,,448170,,,18,4.5,59,1,0.0,0.0,189.0,0.0,0.0
405,405,8371,6302878772,Video,18551,1,,,,,354932,18,3.5,43,1,0.0,0.0,0.0,0.0,5.0
408,408,8422,6304425880,Video,4022,1,,229198,,,,3,5.0,47,2,0.0,43.0,0.0,0.0,0.0
414,414,8558,1573301256,Video,38592,2,315381,449093,,,,3,3.0,31,4,16.0,1.0,0.0,0.0,0.0
415,415,8565,6300181804,Video,9942,2,,,116714,539000,,7,4.5,36,2,0.0,0.0,25.0,225.0,0.0
423,423,8748,093040758X,Video,3053,2,427598,56123,,,,0,0.0,0,4,1.0,85.0,0.0,0.0,0.0
426,426,8924,6301942655,Video,13611,3,2415,,318505,298834,,14,3.5,125,5,1.0,0.0,36.0,19.0,0.0
427,427,8936,6300253228,Video,10087,2,436383,277161,,,,2,5.0,31,2,0.0,211.0,0.0,0.0,0.0
433,433,9092,6304561717,Video,7373,3,32186,,115267,,394258,16,4.5,16,5,88.0,0.0,29.0,0.0,33.0
436,436,9179,1568322259,Video,3589,5,434252,483624,213711,182215,144982,3,4.5,15,7,24.0,98.0,15.0,0.0,20.0
443,443,9526,B00005B6NJ,Video,58999,4,379869,500865,85382,500861,,8,5.0,51,4,116.0,22.0,57.0,43.0,0.0
445,445,9530,B00005B6NF,Video,43726,2,,,431346,427858,,11,3.5,39,2,0.0,0.0,60.0,61.0,0.0
447,447,9570,B00006LI7K,Video,15017,1,,,,180036,,2,4.0,18,2,0.0,0.0,0.0,143.0,0.0
453,453,9721,1578071321,Video,32014,1,3409,,,,,0,0.0,0,2,24.0,0.0,0.0,0.0,0.0
460,460,9862,B000052220,Video,39505,4,,97388,351599,230014,370032,0,0.0,0,4,0.0,22.0,66.0,15.0,45.0
461,461,9903,078400949X,Video,25311,1,,517522,,,,29,4.5,117,1,0.0,555.0,0.0,0.0,0.0
464,464,10042,6305841721,Video,35461,3,206885,154897,,441231,,0,0.0,0,4,0.0,32.0,0.0,0.0,0.0
468,468,10092,6301736303,Video,10297,1,,238193,,,,6,3.0,13,1,0.0,207.0,0.0,0.0,0.0
471,471,10149,6302369037,Video,24367,5,271402,481100,286245,123304,56711,2,5.0,15,5,5.0,0.0,0.0,0.0,32.0
472,472,10176,0783240562,Video,4834,3,342449,384353,,,129228,23,4.5,85,3,14.0,34.0,0.0,0.0,25.0
477,477,10247,B00000J30K,Video,28367,3,,357371,169974,53621,,1,5.0,11,3,0.0,12.0,0.0,30.0,0.0
481,481,10294,6304185901,Video,3994,0,,,,,,6,4.5,170,5,0.0,0.0,0.0,0.0,0.0
482,482,10359,6300184889,Video,10269,1,499897,,,,,20,5.0,219,3,77.0,0.0,0.0,0.0,0.0
484,484,10370,1888568003,Video,10336,2,55238,420059,,,,0,0.0,0,3,0.0,0.0,0.0,0.0,0.0
485,485,10388,6302605148,Video,18379,2,,,,451172,229933,3,4.0,28,4,0.0,0.0,0.0,18.0,54.0
488,488,10584,B00005BCOU,Video,3723,5,144982,139914,489117,166267,182215,1,3.0,17,10,20.0,88.0,26.0,30.0,0.0
493,493,10654,6303939015,Video,4469,4,525524,288775,,138446,228556,73,4.5,280,4,60.0,66.0,0.0,51.0,61.0
496,496,10745,B000067D0J,Video,13414,2,273952,,,,409867,1,5.0,0,5,0.0,0.0,0.0,0.0,0.0
499,499,10776,6302957532,Video,24896,1,321476,,,,,2,5.0,9,2,68.0,0.0,0.0,0.0,0.0
500,500,10825,6302503779,Video,25771,3,,448503,,216499,151983,9,3.0,54,10,0.0,18.0,0.0,100.0,75.0
504,504,10917,B000089QAI,Video,29738,4,364404,162807,518876,315541,,1,4.0,1,5,22.0,66.0,45.0,184.0,0.0
511,511,10987,B000006QY7,Video,39404,1,71635,,,,,0,0.0,0,2,0.0,0.0,0.0,0.0,0.0
512,512,11020,6304092040,Video,32588,1,,503973,,,,1,2.0,22,2,0.0,23.0,0.0,0.0,0.0
521,521,11164,B000056F1J,Video,6190,2,467192,,,465053,,4,4.5,59,3,55.0,0.0,0.0,291.0,0.0
524,524,11237,6301805046,Video,2460,1,,,,,186791,10,4.5,59,3,0.0,0.0,0.0,0.0,3.0
527,527,11290,B000006QYD,Video,29326,2,,,16341,478421,,9,4.5,134,2,0.0,0.0,158.0,33.0,0.0
529,529,11319,0967830206,Video,36878,1,,211955,,,,37,4.0,278,1,0.0,375.0,0.0,0.0,0.0
530,530,11344,6302041104,Video,12760,2,,,465187,269776,,10,4.0,44,3,0.0,0.0,12.0,10.0,0.0
531,531,11364,6300987493,Video,23022,1,,,,11237,,5,4.0,7,2,0.0,0.0,0.0,59.0,0.0
539,539,11489,1572523360,Video,22575,2,,,513915,,239022,13,3.5,160,2,0.0,0.0,58.0,0.0,33.0
540,540,11524,6305121702,Video,4876,2,32076,255215,,,,18,4.5,127,4,86.0,138.0,0.0,0.0,0.0
545,545,11606,6304744269,Video,12620,1,,,,543535,,7,4.5,56,1,0.0,0.0,0.0,11.0,0.0
547,547,11666,6303924670,Video,19868,1,174050,,,,,4,5.0,17,1,37.0,0.0,0.0,0.0,0.0
551,551,11768,B00004STC6,Video,117766,4,454322,507872,178071,,225041,1,5.0,2,4,0.0,0.0,3.0,0.0,2.0
552,552,11773,6303929966,Video,6175,3,48550,,273712,332097,,6,4.0,37,6,13.0,0.0,41.0,12.0,0.0
553,553,11791,B00004STCU,Video,874,3,28389,63472,510551,,,20,4.5,92,4,16.0,203.0,97.0,0.0,0.0
556,556,11841,6300269485,Video,905,4,,219535,276642,295502,424865,17,4.5,151,6,0.0,0.0,93.0,91.0,69.0
557,557,11876,6304660251,Video,24475,3,487983,,,443892,25745,7,3.5,20,3,10.0,0.0,0.0,7.0,12.0
558,558,11889,B00003BDZ9,Video,6354,2,289456,255081,,,,1,1.0,33,9,63.0,22.0,0.0,0.0,0.0
560,560,11945,0784015082,Video,7788,3,106116,127996,540086,,,2,5.0,29,4,20.0,7.0,126.0,0.0,0.0
561,561,11978,6305214220,Video,40840,2,185486,56930,,,,2,5.0,7,2,0.0,1.0,0.0,0.0,0.0
564,564,11986,B00005AXAN,Video,26023,4,331308,,220093,290692,245638,0,0.0,0,7,87.0,0.0,0.0,0.0,0.0
566,566,11995,B00005AXA8,Video,44242,5,427724,263318,59711,111698,383211,5,5.0,72,5,83.0,49.0,55.0,60.0,134.0
567,567,12002,B00005AXA7,Video,53129,5,263318,427724,109087,348571,59711,2,5.0,19,5,49.0,83.0,64.0,38.0,55.0
568,568,12003,B00005AXA6,Video,20306,5,427724,332349,348571,425683,59711,6,5.0,49,5,83.0,72.0,38.0,19.0,55.0
571,571,12056,6305149844,Video,7030,3,38440,362576,,482687,,12,4.0,161,7,277.0,1908.0,0.0,166.0,0.0
573,573,12080,6303344259,Video,6259,2,477956,322456,,,,2,4.5,15,5,3.0,136.0,0.0,0.0,0.0
575,575,12130,6302946549,Video,10037,3,234914,255307,,,471165,3,3.5,54,3,118.0,199.0,0.0,0.0,61.0
576,576,12147,6302374294,Video,10577,4,73388,178783,,439998,269070,6,4.5,31,8,21.0,48.0,0.0,44.0,21.0
580,580,12219,6303101194,Video,20166,1,,,286479,,,3,4.0,33,6,0.0,0.0,113.0,0.0,0.0
581,581,12239,0767007751,Video,25546,4,122869,,359017,347529,277288,7,5.0,60,6,168.0,0.0,30.0,20.0,164.0
582,582,12262,6303046495,Video,4476,1,,,351014,,,9,2.5,30,1,0.0,0.0,107.0,0.0,0.0
583,583,12327,6302843529,Video,17882,5,253224,69034,324047,511528,345101,2,5.0,82,7,36.0,25.0,27.0,108.0,1.0
584,584,12359,6304191006,Video,28107,4,33231,201469,,216404,367311,1,5.0,10,8,15.0,9.0,0.0,0.0,71.0
585,585,12384,0965378780,Video,4730,1,,,,,311811,3,5.0,36,3,0.0,0.0,0.0,0.0,59.0
586,586,12385,6303382967,Video,10756,4,286704,376264,365596,,306732,12,4.0,120,6,56.0,47.0,260.0,0.0,80.0
589,589,12403,6300269310,Video,6142,1,,,,,187997,32,4.5,230,1,0.0,0.0,0.0,0.0,449.0
593,593,12464,B00002JWZK,Video,31850,3,,,6624,316085,427601,0,0.0,0,5,0.0,0.0,15.0,1.0,103.0
597,597,12522,B00005KAQH,Video,27847,3,,,372781,310704,93730,2,4.5,15,4,0.0,0.0,0.0,13.0,12.0
599,599,12533,B000005I0X,Video,40597,5,302724,390405,237405,95981,452402,0,0.0,0,8,0.0,4.0,4.0,2.0,0.0
600,600,12549,630511739X,Video,21162,2,,273827,,,139397,4,4.5,26,10,0.0,3.0,0.0,0.0,22.0
601,601,12565,1568121393,Video,13645,4,502216,352590,344174,,436817,29,4.5,342,7,711.0,104.0,298.0,0.0,84.0
604,604,12681,0767813227,Video,31629,3,,120631,280772,,280779,5,5.0,11,9,0.0,14.0,6.0,0.0,4.0
607,607,12768,6304025912,Video,34647,4,93374,117940,420736,509391,,4,4.5,12,8,4.0,12.0,35.0,19.0,0.0
610,610,12868,B00004RF5A,Video,13778,3,,,410828,383680,518002,3,4.5,40,5,0.0,0.0,36.0,0.0,112.0
612,612,12898,0790749343,Video,31899,4,44502,358006,358002,,358004,3,2.5,30,8,5.0,29.0,5.0,0.0,15.0
614,614,12913,6303816363,Video,13557,2,443970,420079,,,,19,3.5,91,4,119.0,52.0,0.0,0.0,0.0
619,619,12969,B00007FCTN,Video,10592,4,210707,193609,477237,17440,,2,5.0,6,8,17.0,29.0,9.0,25.0,0.0
622,622,12996,0792839234,Video,4631,1,,347029,,,,146,4.5,371,1,0.0,109.0,0.0,0.0,0.0
627,627,13085,B00000680E,Video,8686,2,,300158,,,362743,0,0.0,0,2,0.0,116.0,0.0,0.0,5.0
628,628,13131,0767832582,Video,25924,2,186252,446290,,,,3,5.0,23,4,30.0,33.0,0.0,0.0,0.0
629,629,13149,6302424712,Video,7540,1,305046,,,,,8,5.0,16,1,37.0,0.0,0.0,0.0,0.0
631,631,13166,B00002E24F,Video,2069,2,16101,,,,394309,27,4.5,150,4,0.0,0.0,0.0,0.0,90.0
636,636,13276,6303095151,Video,3827,1,,,,,15057,8,5.0,173,2,0.0,0.0,0.0,0.0,29.0
643,643,13427,6305495483,Video,27277,1,,496271,,,,22,5.0,142,1,0.0,139.0,0.0,0.0,0.0
645,645,13446,0790739720,Video,15337,1,200697,,,,,33,4.5,169,2,294.0,0.0,0.0,0.0,0.0
648,648,13507,0789421550,Video,6515,3,472275,157436,,,182520,3,3.0,5,5,8.0,0.0,0.0,0.0,2.0
661,661,13701,6300215466,Video,33821,1,454525,,,,,4,4.5,21,1,17.0,0.0,0.0,0.0,0.0
663,663,13745,B00000JQ8G,Video,21592,5,13748,17859,38550,17861,13757,0,0.0,0,14,0.0,0.0,0.0,5.0,0.0
665,665,13748,B00000JQ8J,Video,27207,5,13745,38550,17861,17859,13757,0,0.0,0,11,0.0,0.0,5.0,0.0,0.0
666,666,13750,B00000JQ8H,Video,9836,5,79121,17861,79098,17859,13745,0,0.0,0,9,4.0,5.0,0.0,0.0,0.0
667,667,13757,B00000JQ8M,Video,10862,5,13745,17859,13748,38550,79121,0,0.0,0,9,0.0,0.0,0.0,0.0,4.0
669,669,13830,B000065ETM,Video,9368,1,383249,,,,,7,4.5,17,1,15.0,0.0,0.0,0.0,0.0
673,673,13972,6303102492,Video,3930,4,,348280,19102,346163,266168,12,3.5,181,14,0.0,238.0,24.0,473.0,286.0
674,674,13975,630443815X,Video,11459,5,503702,256837,198320,159974,322616,0,0.0,0,7,10.0,9.0,0.0,19.0,35.0
675,675,14051,6302460247,Video,21746,2,,265899,439796,,,7,5.0,34,3,0.0,17.0,0.0,0.0,0.0
