,nodeId,Id,ASIN,group,salesrank,totalSimilar,s1,s2,s3,s4,s5,totalReview,avgRate,totalVote
92,92,2302,B00000F3CB,DVD,20615,5,B00005A3KT,0790750201,0780622553,0780627849,0790729628,68,3,210
93,93,2305,B00000F3CD,DVD,7749,5,B0000640SA,B00005V3Z4,B00006IUL7,078401213X,B00005Q4CS,41,4,166
94,94,2333,B00006HAX0,DVD,40259,5,B0002LE9FO,B0006433F4,B00012FX6I,B0002MF68M,B00023P4SS,6,3,4
95,95,2395,B00005RYOS,DVD,52445,2,B00004YZFR,B000305ZDO,,,,2,3.5,9
96,96,2502,B00005U8EZ,DVD,21594,5,B00005U8EY,B000065Q98,B000065Q99,B00006RCKJ,B00005ICEE,6,4,18
97,97,2533,6304993838,DVD,40549,5,B0000CABJJ,B00009XFQO,B00005JLD4,B00008AORX,B000065V3O,4,5,35
98,98,2640,B00004TKIC,DVD,1900,5,B00006473D,B00007GZS0,B00007JME6,B00005NQGR,B00006IX6K,170,4,2079
99,99,2679,B00006JMSL,DVD,2331,5,B00023P4JM,B00009VU01,B00009VTZX,B00009VU0F,B00009YXAV,22,4,234
100,100,2687,B00006JMSO,DVD,42285,5,B0001A7V1U,B0006U3SJO,B0001O3YPI,B00005Y71G,B000087F7K,0,0,0
101,101,2711,B00006JMSV,DVD,31236,5,B00008K76X,B00005NTNU,B00005JN0W,B00005K3LX,B00003CXA0,0,0,0
102,102,2720,B00006JMSP,DVD,31529,5,B00000G3PL,6305127565,B00005U7QX,B00028G7GG,B00015YVDG,0,0,0
103,103,2770,B00005Y1NF,DVD,6137,5,B000062XFG,B000063V8R,B000063V8S,B000063V8T,B000063V8V,154,4.5,1219
104,104,2783,B000050XXO,DVD,37507,5,B0002V7TZ6,6304698526,B0001I55SI,B0002HOES0,B0001AG01M,5,3,196
105,105,2826,B00006JMS0,DVD,25063,5,B000051S39,B000051SH3,B000087F3E,B00008YLUE,B00028G6D0,3,4.5,23
106,106,2831,6305301999,DVD,14805,5,B000053V7K,B0000CA1DA,B00007G1XA,B00005RG6T,B00063MCOI,18,4,115
107,107,2894,B00004UEEE,DVD,40050,5,B00004TJGX,B00004TJGW,6305844666,B00004UEEG,B0000541UF,9,4,51
108,108,2938,B00000JNTN,DVD,12150,5,B00004REQZ,6305320616,B0000AOV85,6305320608,B000077VOS,20,4,166
109,109,2944,B00000JNTX,DVD,12454,5,B0000633TW,B0002YCUPC,B0002YCUR0,B00005RIYD,B0002YCUQ6,21,3,310
110,110,2955,B00000JNTT,DVD,49084,2,B00004SGB5,B0002I832C,,,,8,4,45
111,111,3073,B00005QCU0,DVD,14290,5,B0000DGKI2,B000063JZR,B000063JZS,076783822X,076784856X,4,5,16
112,112,3112,B00005NKBW,DVD,33042,5,B00005ASUS,B00008G6U5,B00008G6U6,B00008G6U7,B00008G6U8,0,0,0
113,113,3129,6305915695,DVD,44786,5,B00005Y6Y6,B000795JMS,B0000C8AUK,B0002KVUJS,B0009ETD1O,3,1.5,33
114,114,3152,B00004UEET,DVD,29280,5,0345333322,B00005JMH8,B0001932ZU,B00008L3SP,B0007OCG4W,4,2.5,14
115,115,3212,B00005JLL1,DVD,9518,5,B00005ML8T,B0002CHJHS,B000053VAP,B0000CDRW5,B00009W8NH,59,4,361
116,116,3423,6305871418,DVD,28071,5,B0002GTX8M,B0000584ZV,B00004Z4W0,B00006JDR4,B0007PAMEM,12,4.5,36
117,117,3433,B00005AQ4P,DVD,8562,5,B00005RYN8,B00005RYMZ,B00005AB2S,B000055WJ4,B00005RYN6,2,4.5,19
118,118,3437,B00005AQ4Y,DVD,33085,0,,,,,,2,4,3
119,119,3440,B00005AQ4X,DVD,22109,5,B000067D6Q,B00007ELCV,B00007AJDI,B00008PC0Y,B0001NBMH6,3,2.5,23
120,120,3455,B000077VQ0,DVD,44031,5,B0001NBLOK,B0000687C8,B00006LPBU,B0001MDPIQ,B000077VS3,0,0,0
121,121,3549,6305131147,DVD,22672,2,0790729350,B000305ZDO,,,,31,4,152
122,122,3592,B000077VQD,DVD,22602,5,B00005NNSM,B0000897AY,B00006ADFG,B00005MEW3,B0000JBAO6,18,4,138
123,123,3607,B00005TSPK,DVD,13113,2,B00009VTYF,B0001US7TU,,,,1,4,0
124,124,3622,B00005A0QC,DVD,45055,5,B00023XW32,B00068S3UK,B00004W1ZQ,B00018U98O,B0000C5074,3,4,11
125,125,3679,6305466882,DVD,31240,5,6305375062,6305466858,B00000JS8A,6305375100,B00000JSIB,37,4.5,38
126,126,3776,B00006HAXX,DVD,56540,0,,,,,,0,0,0
127,127,3786,6305505519,DVD,4612,5,B00007AJF4,B00008DDVG,B00000IQC6,B00009XN4C,B00007L4MO,21,2.5,129
128,128,3813,6305558205,DVD,440,5,B00005O06T,B00000ILEC,B000002KYZ,B00004TJKJ,6305428557,134,4.5,656
129,129,3853,B00006HAX6,DVD,28509,5,B00008DDVG,B00000IQC6,B00009XN4C,B00007AJF4,B00007L4MO,29,4,129
130,130,3854,B00006HAX4,DVD,55565,0,,,,,,1,4,8
131,131,3996,B000055WDG,DVD,37847,5,B0000DK2ZZ,B0000A381Z,B00007CWI6,B0001K2OSK,B00005RYOX,10,4,104
132,132,4006,B00003CY57,DVD,6735,5,B0001AW0HU,B00005JKMW,B00003CY6D,B00004W20F,B000031WD9,326,3,768
133,133,4007,B00003CY51,DVD,5703,5,B000035Z28,6305505780,B0000541AK,0783240201,B00004Y2R1,84,3.5,306
134,134,4012,B00006JU7Q,DVD,39284,5,B00005RG6I,B00061H2KE,B0002KPILE,B0002IQOEQ,B00009PY3I,5,5,21
135,135,4023,B00003CY5P,DVD,11457,5,B00003CXH1,B00005LNGX,B00005K3OS,B00003CXMP,0780628306,105,4,448
136,136,4024,B00003CY5Y,DVD,657,5,0780625145,B00003CXJ1,B00005JLRQ,B00005JKED,6304821832,227,4,473
137,137,4026,B00003CY5J,DVD,9066,5,B00005UQ9T,6305263248,6305127697,B0000B1OFL,B00005LDDD,166,3.5,483
138,138,4027,B00003CY5D,DVD,5351,5,B00003CXDS,B00008LDPU,B0002J4X1Q,B0006GVJE4,B0000VAFO0,660,4,2621
139,139,4028,B00003CY5G,DVD,8583,5,B000023VTP,B00008NRI8,B00003CXRY,B0001ADAVK,B00003IPFP,175,3,489
140,140,4029,B00003CY5A,DVD,7155,5,B00003CXGG,B00005V1WW,B00009Q98I,B00003W8NS,B00005OOQ1,173,4,543
141,141,4031,B00003CY5S,DVD,3965,5,B00007AJF9,630568040X,B00003CWN3,1572526505,6305908087,44,3.5,249
142,142,4090,0780022343,DVD,7695,5,B00005JLV6,B00005M2C7,B00065GX64,B0002JP2OI,B00003CWQL,114,5,952
143,143,4098,B00006JU7G,DVD,38685,5,B0000897DR,B0000C7PVA,B0008FPJJO,B0000AZT6K,B00026L7YU,8,4.5,17
144,144,4119,B00008G6GI,DVD,14214,5,B00007JZYW,B000067J07,B000066751,B00008G8Q7,B0002IATLK,3,4.5,18
145,145,4200,B00004RFID,DVD,22575,5,0738921351,B00004RFIC,B00005R1N1,0316610984,B00004SPY8,30,4.5,136
146,146,4271,B00008DDGB,DVD,26387,5,B00008DDGO,B00008DDW2,B00008DDGF,B00008DDGG,B00008DDGH,0,0,0
147,147,4279,B000067J2N,DVD,45078,5,B0001ZMXIG,B000068MB4,B0001LJCX4,B00024JAL4,B00008G96R,1,4,17
148,148,4282,0769712231,DVD,6212,5,B000063JZQ,079284615X,B00014K5ZA,B00019072G,B00003OST5,28,4,303
149,149,4285,6305078564,DVD,18575,5,0800141660,B00003JRCQ,B00000G3AZ,6305907145,0767020308,682,4.5,3607
150,150,4290,6305836663,DVD,31949,5,B0000XO67K,B0000714B1,B000088UN6,B00020X94W,B00001U0E2,6,4,27
151,151,4298,B000060MWA,DVD,17457,5,B00008DDUY,B000089729,B0000541AK,B0000YEE6M,630469623X,26,3,118
152,152,4388,B000059HB7,DVD,1877,5,6305754969,B00008CMR6,6304696566,6304696612,B00008CMR4,79,4.5,289
153,153,4430,B00005U144,DVD,57168,0,,,,,,0,0,0
154,154,4459,B00005U14L,DVD,64601,0,,,,,,1,5,6
155,155,4462,6305936846,DVD,46836,5,B0001VTPUE,B00005AVZS,B00004U5BP,B00006G8JM,B0002XL34M,1,4,0
156,156,4533,B00000IBQ0,DVD,30276,5,B00000JLTK,B000053VBL,1572524839,B00000JJHK,B000053VBO,7,4.5,33
157,157,4534,B00000IBQ1,DVD,27023,5,B00000JJHL,B00000JLTR,B00000JLTN,1572524839,B00000JJHK,5,4,8
158,158,4537,B00000IBQ5,DVD,27357,5,1572523867,B00005V9H9,1573306983,B00005QCWU,B0002TT05U,5,4.5,37
159,159,4577,B000067J25,DVD,16647,5,B00005UW9K,B000065U1J,B00005OKQZ,B00009V7S8,1896306195,9,3,32
160,160,4638,0780021312,DVD,7186,5,B00014K5ZA,B00019072G,0780021320,0769712231,B00004Z4RP,47,4.5,375
161,161,4675,6304698518,DVD,466,5,079073219X,0767818040,6305262268,B000022TSH,B00004XMV6,49,4.5,321
162,162,4740,B00005T30N,DVD,49674,0,,,,,,0,0,0
163,163,4741,B00005T30O,DVD,51667,0,,,,,,0,0,0
164,164,4743,B00005T30L,DVD,3273,5,B00005V3Z4,1560974273,B0000U0X20,0767827740,B00005JMJ4,303,4,1967
165,165,4744,B00005T30K,DVD,7604,5,B00009PSDY,B00007JXZV,B00022PZ0G,B00005AUEC,6304783280,0,0,0
166,166,4745,B00005T30M,DVD,8480,5,B0002RQ334,B00002E229,B000062XG0,B00004RFHN,B00005JLHX,9,5,51
167,167,4746,B00005T30H,DVD,34604,5,B00005T30G,B00006673E,B00006673F,B00006673G,B00006673I,11,4.5,17
168,168,4748,B00005T30D,DVD,34509,5,B00004WZQN,B00006G8GE,B0001IXU6W,B0002I84JO,B00064AFFA,9,2,84
169,169,4749,B00005T30G,DVD,19832,5,B00005T30H,B00006673E,B00006673F,B00006673G,B00006673I,20,4,57
170,170,4752,B00005T30B,DVD,25157,5,B0000A2ZQP,B0002235LW,B00023P4I8,B0000C3I96,B0000BWVD9,8,3,29
171,171,4753,B00005T30I,DVD,5932,5,B00005JLV6,0780020707,B00003CWQL,B00007L4I6,B00005JKGO,54,4.5,469
172,172,4759,B00005T30X,DVD,39084,5,B0000BWVNA,B0000D0YT8,B00007J89E,6305020108,B00005RI8J,8,2,166
173,173,4761,B00005T30Y,DVD,22142,4,B00004U2MW,006016848X,B0007R4T3U,B0002OXVBO,,5,3.5,93
174,174,4763,B00005T30V,DVD,41006,5,B00005LQ0P,B00005B1ZR,B000060MVP,B00005YUOX,B000060MVR,2,3.5,7
175,175,4765,B00005T30T,DVD,36088,5,B00009Q4XU,B00009Q4XT,B00005BIFY,B0002TT0O6,B00008V2U0,5,4.5,11
176,176,4767,B00005T30S,DVD,32547,5,B0000BV1XX,B00006FDB1,6305957878,B00005M91B,B000255LG6,18,4,308
177,177,4818,B00005T307,DVD,51165,5,B0001Y4LEQ,B0001WTWDI,B00005KCB5,B0000A1HQ7,B00005Y4RY,1,5,12
178,178,4822,B00005T302,DVD,36441,5,B00008HCCB,B0002MFG5A,B0000D0YVO,B00065HKLG,B00007L4N8,5,3,31
179,179,4884,630587073X,DVD,43288,5,B0000E69IJ,B00004W19M,B000065U3K,B0000687DH,6305325820,6,3,35
180,180,4925,6305505802,DVD,4931,5,0792838076,B0001FGBUW,6305047480,B0000541AK,630469623X,30,4.5,143
181,181,4927,B00008G4H7,DVD,9167,5,6305428476,0767847105,B00005LZOD,B00005N8A9,B0000C9JFO,26,4.5,150
182,182,5133,B00005NQH0,DVD,39189,5,1573306932,B000621484,B0002WZTJI,B00005NQGY,B0000AYL2N,8,2,56
183,183,5205,B0000507OO,DVD,26617,5,B00000JL4W,B00000JL4X,B000089785,B00005QIVE,B00005ALMR,5,3,188
184,184,5228,B00007MGW0,DVD,37169,0,,,,,,0,0,0
185,185,5357,0783226845,DVD,2391,5,6305065551,B00006JU7T,B00008CMRK,B00004XPPB,6304712960,82,4.5,328
186,186,5384,B00008KGT0,DVD,14700,5,B00008KA59,B00008KA5A,B00008KA58,B00008972H,B00008KA57,27,4.5,180
187,187,5415,B00004WC63,DVD,28420,5,B00004WC5Z,B00004WG1P,B00004WC60,B00004WG1O,B00004WG1Q,1,5,2
188,188,5466,0792841670,DVD,2727,5,B0001NBMH6,B00005PJ8V,B0001WTWWE,B00008AOTR,B00005N5S3,30,4.5,162
189,189,5552,6304604572,DVD,18805,5,B0000AZT7B,1573623911,6304936397,1573624098,0792841328,36,3,164
190,190,5568,0780022629,DVD,10830,5,B00065GX64,B0002V7O0Q,B0002JP2OI,B00000IPHT,B00005JKGO,46,4,278
191,191,5654,0767827929,DVD,3549,5,0783232071,B000002VDU,B000002VDC,0792841638,0783240287,113,4.5,533
192,192,5777,6305771111,DVD,28637,5,6305771103,B00028G54U,B00028G540,B00004YA6L,B00005A1T8,7,2.5,32
193,193,5780,6305133476,DVD,7396,5,6304712588,B00000J123,B0000399WB,B00005ATZT,B00008K76V,53,4,199
194,194,5806,630506976X,DVD,21448,5,1572522453,6305069638,B0000DZ3BJ,1572521767,B00005JKGO,6,4,44
195,195,5808,0783232292,DVD,8396,5,B0000AK7AB,B0000AK7AG,6304711913,6304015127,0783219733,155,3.5,838
196,196,5916,B00004ZELI,DVD,16140,5,B00004ZELJ,B00004ZEMK,B00005AAF2,B00005QCV8,B00000JZJN,179,5,169
197,197,5931,B00005NVDH,DVD,18641,5,B00007AJFK,B00005N5S9,0792155203,B0002ERWUU,B000059PQE,7,4.5,143
198,198,5996,630523650X,DVD,3003,5,0792846443,6305212112,0767821599,B00006FDCU,1573624098,5,4.5,1
199,199,6060,B00008J2FC,DVD,41486,5,B0001BMMHC,B0001BMMI6,B0001BMMHM,B0007N1K4U,B000305ZRA,24,4.5,162
200,200,6085,B00007KK2J,DVD,20561,5,B00005UW7W,B000087EYF,B00013F2ZY,B0001Y4MJA,B0002JP2OI,2,5,3
201,201,6092,B00007KK2H,DVD,5896,5,B0000714AQ,B0000714AP,B000068V9R,B00009Y3RE,1879505096,7,5,63
202,202,6255,6305551235,DVD,21645,5,0783228465,0767817699,6305259429,076780970X,0783226748,28,4,83
203,203,6292,B00000I1RM,DVD,23702,5,B0000V46DQ,6305234922,B00004YZEI,630580379X,B00004YZEL,13,4,27
204,204,6294,B00000I1RH,DVD,42841,5,B00008WJE3,B0002CR08G,B00004YZEM,B0000V46DG,B0000TPA10,14,4,33
205,205,6317,B00007KK28,DVD,28462,5,B000063K1Q,B0002VEUA8,B000065RSW,B00023P4I8,B0000844JO,4,3,41
206,206,6362,B00007D00L,DVD,1371,5,B00005N8AN,B0000B1A2T,B00005N8AP,B0000B1A30,B00006JXWB,19,4.5,387
207,207,6459,1571324941,DVD,7368,5,B00005C9HN,1571323767,157132528X,6303610730,1571320814,10,4.5,66
208,208,6480,B000067G1M,DVD,43445,0,,,,,,7,5,37
209,209,6524,B000067G16,DVD,27721,5,B00004STF4,B0000897A4,B0001MDQ5S,B00005KH2K,B0000CDL9K,8,4,45
210,210,6525,B000067G15,DVD,34273,5,B0001O3Y62,B0000C8263,B000063K2X,B0002M5U5Q,B0002HOECQ,2,2.5,0
211,211,6529,B000067G12,DVD,3945,5,B0000CG8AY,B00005KH2H,B00019G478,B0002XL2HK,B00005KH2J,13,3.5,113
212,212,6531,B000067G11,DVD,9818,5,B0000AYK0J,B0007OY42O,B0002ZMJ5M,B0000AVHCI,B0000CD5I6,57,4,361
213,213,6533,B000067G10,DVD,35538,5,B000077VOS,B0000C509B,B00000JGNX,B000056PPJ,B00002E236,13,3.5,96
214,214,6554,B00000JYXB,DVD,34865,5,B00004STIV,B0000B1OFZ,B0000YTOLM,B00004VWUF,B0000Y8HJM,6,3,53
215,215,6599,B00000JYX8,DVD,34861,5,B00000JYX9,B000096I9W,B000059H87,630579720X,B0002D672U,8,3.5,20
216,216,6606,B00000JYX6,DVD,11319,5,B0000YED1S,B00005OW0E,B00005S83A,B00006FMC8,B000127GFY,16,4.5,286
