,nodeId,Id,ASIN,group,salesrank,totalSimilar,s1,s2,s3,s4,s5,totalReview,avgRate,totalVote,visited,v1,v2,v3,v4,v5
32,32,1057,B000063JZE,DVD,34901,4,42360,,276696,213004,137588,29,4.5,72,7,62.0,,4.0,33.0,112.0
33,33,1067,B000063JZI,DVD,55879,4,36189,370611,399623,109593,,8,3.5,36,4,0.0,0.0,3.0,2.0,
34,34,1204,B000056PPH,DVD,29191,1,472048,,,,,5,4.0,57,1,58.0,,,,
35,35,1277,B000056N8X,DVD,5642,2,547452,119338,,,,226,3.0,925,8,856.0,73.0,,,
36,36,1278,B000056N8Z,DVD,12630,3,,,56468,32000,542314,10,4.0,55,6,,,265.0,23.0,116.0
37,37,1282,B000056N8P,DVD,28174,1,9834,,,,,7,4.5,71,2,128.0,,,,
38,38,1285,B000056N8W,DVD,12583,4,236866,545374,286057,,542769,28,4.5,105,4,110.0,0.0,64.0,,27.0
39,39,1287,B000056N8T,DVD,8439,3,542757,,165815,48964,,14,4.0,93,9,262.0,,143.0,86.0,
40,40,1288,B000056N8Q,DVD,18007,4,232024,1293,547165,,32468,37,3.5,55,11,16.0,2.0,48.0,,165.0
41,41,1290,B000056N8V,DVD,3783,4,54437,545421,,271590,54589,23,4.0,212,13,279.0,34.0,,632.0,315.0
42,42,1293,B000056N8H,DVD,26040,4,1288,,546260,32468,86226,5,3.5,2,7,55.0,,127.0,165.0,31.0
44,44,1362,0790742853,DVD,14891,2,,,149619,544463,,48,4.5,145,4,,,534.0,12.0,
46,46,1467,B00006RJER,DVD,29916,3,196690,517310,126365,,,8,3.5,37,6,23.0,141.0,35.0,,
47,47,1504,B00005O438,DVD,15006,5,144201,548179,59460,267891,544209,56,3.5,123,8,9.0,265.0,129.0,610.0,2300.0
48,48,1562,B00004I9Z1,DVD,25046,1,,,,240020,,31,3.5,489,1,,,,616.0,
49,49,1580,B00005RT35,DVD,7608,5,285036,542229,128518,545550,542909,18,4.0,126,8,100.0,270.0,141.0,390.0,1054.0
50,50,1608,B00005ALLX,DVD,13661,3,,226921,,87327,534925,103,4.5,544,5,,567.0,,522.0,745.0
52,52,1622,B00008WJDS,DVD,31172,1,,,,,280495,4,2.0,10,1,,,,,25.0
53,53,1625,B00008WJDA,DVD,17812,4,,234781,35416,83382,208490,22,3.5,100,8,,864.0,621.0,187.0,71.0
54,54,1627,B00005NB96,DVD,40788,2,38792,,271806,,,1,5.0,4,3,27.0,,69.0,,
55,55,1628,B00005NB97,DVD,27739,2,273953,,280935,,,40,4.5,164,2,787.0,,336.0,,
56,56,1629,B00005NB95,DVD,24195,5,548225,110276,544489,547038,547353,290,3.0,2046,5,1001.0,1635.0,1804.0,51.0,359.0
57,57,1630,B00005NB92,DVD,12992,5,1634,294669,294670,491109,1632,21,4.5,85,12,70.0,87.0,38.0,4.0,27.0
58,58,1631,B00005NB94,DVD,3458,5,544489,547353,279351,546172,185087,47,4.5,361,18,1804.0,359.0,90.0,297.0,767.0
59,59,1632,B00005NB90,DVD,39595,5,1634,328291,1630,328293,294670,8,4.0,27,10,70.0,60.0,85.0,48.0,38.0
60,60,1634,B00005NB91,DVD,31726,5,294669,491109,1632,294670,328291,15,4.5,70,11,87.0,4.0,27.0,38.0,60.0
61,61,1635,B00005NB93,DVD,17640,1,544338,,,,,58,2.5,295,2,358.0,,,,
62,62,1637,B00006DXXV,DVD,26207,5,1640,544403,546961,261662,546964,10,4.0,94,10,71.0,56.0,61.0,330.0,14.0
63,63,1639,B00006DXXS,DVD,31222,3,548255,229515,547527,,,3,3.0,13,3,63.0,83.0,54.0,,
64,64,1640,B00006DXXU,DVD,25235,5,544403,261662,1637,546961,546964,13,5.0,71,8,56.0,330.0,94.0,61.0,14.0
65,65,1641,B00006DXXR,DVD,8503,2,96981,,270541,,,28,3.5,197,3,155.0,,52.0,,
66,66,1654,B00006DXX6,DVD,45823,5,544521,177432,201184,547166,544676,5,4.0,13,5,29.0,260.0,244.0,30.0,36.0
68,68,1670,B00005NB9E,DVD,45274,1,,8719,,,,2,3.0,4,1,,293.0,,,
69,69,1677,B00005NB9X,DVD,26035,3,,,547666,545997,546104,14,4.0,44,4,,,29.0,472.0,31.0
70,70,1678,B00008WJD6,DVD,16635,2,,546778,,545150,,142,3.0,365,3,,597.0,,1700.0,
71,71,1679,B00005NB9Z,DVD,8567,4,1681,,80594,280564,316873,39,4.5,191,12,155.0,,231.0,164.0,13.0
72,72,1681,B00005NB9Y,DVD,10520,4,1679,280564,545594,,231613,41,4.0,155,6,191.0,164.0,174.0,,296.0
73,73,1682,B00005NB9U,DVD,35925,2,536514,247983,,,,4,3.5,15,2,20.0,6.0,,,
74,74,1684,B00008WJD9,DVD,17726,5,217587,542933,445394,514802,543270,19,3.5,60,6,201.0,344.0,269.0,1303.0,192.0
75,75,1687,B00004ST9Q,DVD,11531,4,109406,15276,17988,104423,,43,4.5,135,15,195.0,58.0,176.0,347.0,
76,76,1700,B00004ST9H,DVD,7392,1,,18246,,,,44,5.0,329,3,,755.0,,,
77,77,1722,B00005RYA1,DVD,29691,2,,154546,547684,,,1,5.0,10,3,,45.0,330.0,,
78,78,1787,6305972869,DVD,16410,1,,466877,,,,2,5.0,2,1,,46.0,,,
79,79,1871,B00005A8TV,DVD,8374,1,1884,,,,,36,4.5,255,3,239.0,,,,
80,80,1875,B00005A8TW,DVD,19394,2,506614,,,548091,,28,4.0,267,5,162.0,,,693.0,
81,81,1880,B00005A8TX,DVD,9289,1,34864,,,,,32,4.5,188,3,98.0,,,,
82,82,1881,B00005A8TY,DVD,8102,4,545303,,485026,250587,545554,120,4.0,963,4,1609.0,,712.0,362.0,513.0
83,83,1884,B00005A8TU,DVD,5067,1,1871,,,,,30,4.5,239,3,255.0,,,,
84,84,1898,6305334854,DVD,30196,1,,,,28776,,17,4.0,42,2,,,,87.0,
87,87,1966,B00006LU73,DVD,43456,1,,312,,,,5,4.5,14,2,,12.0,,,
88,88,1980,6305066795,DVD,27037,1,,,268577,,,51,3.5,528,1,,,1149.0,,
89,89,2058,0783227981,DVD,8104,3,,186000,253717,,54618,71,4.5,368,3,,137.0,818.0,,386.0
91,91,2216,6304712987,DVD,32834,4,123554,547956,546722,,283384,30,3.5,75,4,208.0,177.0,948.0,,175.0
92,92,2302,B00000F3CB,DVD,20615,5,545864,545455,544653,61381,545235,68,3.0,210,5,77.0,17.0,1536.0,131.0,5560.0
93,93,2305,B00000F3CD,DVD,7749,5,185268,546221,155252,216027,547638,41,4.0,166,5,5666.0,6178.0,851.0,2467.0,4817.0
95,95,2395,B00005RYOS,DVD,52445,1,247530,,,,,2,3.5,9,1,845.0,,,,
96,96,2502,B00005U8EZ,DVD,21594,5,260642,215637,215635,196686,17445,6,4.0,18,11,11.0,5.0,6.0,16.0,14.0
97,97,2533,6304993838,DVD,40549,2,,,545231,,544504,4,5.0,35,2,,,924.0,,60.0
98,98,2640,B00004TKIC,DVD,1900,4,547086,118648,,545565,545718,170,4.0,2079,9,869.0,16.0,,586.0,55.0
100,100,2687,B00006JMSO,DVD,42285,2,,,,253138,180656,0,0.0,0,2,,,,292.0,246.0
101,101,2711,B00006JMSV,DVD,31236,4,277421,36404,,218402,546861,0,0.0,0,4,68.0,246.0,,646.0,277.0
102,102,2720,B00006JMSP,DVD,31529,3,210754,544104,542762,,,0,0.0,0,4,220.0,176.0,188.0,,
103,103,2770,B00005Y1NF,DVD,6137,5,262820,20186,119246,20183,20185,154,4.5,1219,8,330.0,779.0,522.0,409.0,689.0
104,104,2783,B000050XXO,DVD,37507,1,,547204,,,,5,3.0,196,1,,708.0,,,
105,105,2826,B00006JMS0,DVD,25063,3,542541,269687,,236008,,3,4.5,23,4,113.0,217.0,,12.0,
106,106,2831,6305301999,DVD,14805,2,,,193485,114311,,18,4.0,115,2,,,48.0,93.0,
107,107,2894,B00004UEEE,DVD,40050,2,,,,122664,148848,9,4.0,51,2,,,,16.0,37.0
108,108,2938,B00000JNTN,DVD,12150,4,185391,546678,,545783,544156,20,4.0,166,13,190.0,117.0,,112.0,322.0
109,109,2944,B00000JNTX,DVD,12454,2,543601,,,120435,,21,3.0,310,6,95.0,,,46.0,
110,110,2955,B00000JNTT,DVD,49084,1,126269,,,,,8,4.0,45,1,349.0,,,,
111,111,3073,B00005QCU0,DVD,14290,3,,546853,546852,,548231,4,5.0,16,4,,27.0,10.0,,29.0
112,112,3112,B00005NKBW,DVD,33042,1,83715,,,,,0,0.0,0,2,27.0,,,,
113,113,3129,6305915695,DVD,44786,1,8446,,,,,3,1.5,33,1,54.0,,,,
115,115,3212,B00005JLL1,DVD,9518,2,542970,,544576,,,59,4.0,361,3,284.0,,222.0,,
116,116,3423,6305871418,DVD,28071,3,,542589,51982,543837,,12,4.5,36,9,,240.0,171.0,40.0,
117,117,3433,B00005AQ4P,DVD,8562,3,,,69852,542262,542987,2,4.5,19,8,,,25.0,15.0,2.0
119,119,3440,B00005AQ4X,DVD,22109,2,,,39545,115558,,3,2.5,23,3,,,2.0,1108.0,
120,120,3455,B000077VQ0,DVD,44031,3,,28778,546169,,546179,0,0.0,0,7,,24.0,0.0,,3.0
121,121,3549,6305131147,DVD,22672,1,241643,,,,,31,4.0,152,1,739.0,,,,
122,122,3592,B000077VQD,DVD,22602,3,225419,,437674,244807,,18,4.0,138,7,173.0,,26.0,147.0,
124,124,3622,B00005A0QC,DVD,45055,1,,,255221,,,3,4.0,11,1,,,32.0,,
125,125,3679,6305466882,DVD,31240,1,,,403965,,,37,4.5,38,1,,,32.0,,
127,127,3786,6305505519,DVD,4612,3,,402670,30129,,346035,21,2.5,129,4,,83.0,199.0,,93.0
128,128,3813,6305558205,DVD,440,4,274750,257377,,542517,186625,134,4.5,656,11,170.0,533.0,,565.0,285.0
129,129,3853,B00006HAX6,DVD,28509,3,402670,30129,,,346035,29,4.0,129,3,83.0,199.0,,,93.0
131,131,3996,B000055WDG,DVD,37847,2,,,156719,,388663,10,4.0,104,2,,,114.0,,142.0
132,132,4006,B00003CY57,DVD,6735,4,,88361,25501,127512,546735,326,3.0,768,9,,926.0,936.0,1017.0,5544.0
133,133,4007,B00003CY51,DVD,5703,5,547341,32468,201184,174769,53582,84,3.5,306,8,125.0,165.0,244.0,273.0,256.0
135,135,4023,B00003CY5P,DVD,11457,4,544472,,544542,545628,26540,105,4.0,448,5,2274.0,,186.0,979.0,665.0
136,136,4024,B00003CY5Y,DVD,657,5,203649,240197,545701,283686,41538,227,4.0,473,12,472.0,287.0,223.0,8.0,4.0
137,137,4026,B00003CY5J,DVD,9066,4,547740,281550,547203,,15397,166,3.5,483,11,429.0,656.0,194.0,,448.0
138,138,4027,B00003CY5D,DVD,5351,2,54649,88782,,,,660,4.0,2621,4,16.0,2601.0,,,
139,139,4028,B00003CY5G,DVD,8583,4,547943,115067,44459,,544110,175,3.0,489,4,1301.0,536.0,644.0,,1183.0
140,140,4029,B00003CY5A,DVD,7155,4,46353,545254,,16649,547158,173,4.0,543,9,424.0,591.0,,589.0,254.0
141,141,4031,B00003CY5S,DVD,3965,4,548260,133346,545473,544450,,44,3.5,249,6,1332.0,73.0,2.0,48.0,
142,142,4090,0780022343,DVD,7695,1,,369051,,,,114,5.0,952,7,,126.0,,,
143,143,4098,B00006JU7G,DVD,38685,1,179046,,,,,8,4.5,17,2,0.0,,,,
144,144,4119,B00008G6GI,DVD,14214,4,128177,540938,138789,493996,,3,4.5,18,7,32.0,29.0,343.0,99.0,
145,145,4200,B00004RFID,DVD,22575,3,198190,690,233260,,,30,4.5,136,6,190.0,25.0,9.0,,
146,146,4271,B00008DDGB,DVD,26387,2,97844,,,548313,,0,0.0,0,4,7.0,,,0.0,
147,147,4279,B000067J2N,DVD,45078,2,,545933,,,137770,1,4.0,17,2,,0.0,,,0.0
148,148,4282,0769712231,DVD,6212,3,426925,544481,,,149811,28,4.0,303,9,469.0,917.0,,,353.0
149,149,4285,6305078564,DVD,18575,5,546277,424377,545125,221752,538090,682,4.5,3607,5,896.0,1614.0,892.0,2361.0,831.0
150,150,4290,6305836663,DVD,31949,2,,543025,,,58410,6,4.0,27,2,,2.0,,,812.0
151,151,4298,B000060MWA,DVD,17457,4,542314,32000,201184,,177432,26,3.0,118,6,116.0,23.0,244.0,,260.0
152,152,4388,B000059HB7,DVD,1877,5,547738,163141,215575,65311,547333,79,4.5,289,35,164.0,137.0,946.0,258.0,107.0
155,155,4462,6305936846,DVD,46836,3,,415530,545307,545764,,1,4.0,0,6,,22.0,0.0,40.0,
156,156,4533,B00000IBQ0,DVD,30276,5,545746,109835,292857,175519,148126,7,4.5,33,7,112.0,61.0,42.0,50.0,74.0
157,157,4534,B00000IBQ1,DVD,27023,5,11309,542521,542522,292857,175519,5,4.0,8,8,21.0,75.0,44.0,42.0,50.0
158,158,4537,B00000IBQ5,DVD,27357,4,39083,150428,542300,468118,,5,4.5,37,6,17.0,9.0,328.0,15.0,
159,159,4577,B000067J25,DVD,16647,3,,212010,61779,,546154,9,3.0,32,4,,26.0,116.0,,9.0
160,160,4638,0780021312,DVD,7186,3,,,26140,4282,175952,47,4.5,375,11,,,249.0,303.0,692.0
161,161,4675,6304698518,DVD,466,5,185355,21486,272542,544390,547891,49,4.5,321,11,118.0,331.0,152.0,1152.0,706.0
164,164,4743,B00005T30L,DVD,3273,2,546221,,,517656,,303,4.0,1967,8,6178.0,,,485.0,
165,165,4744,B00005T30K,DVD,7604,1,,,,216441,,0,0.0,0,1,,,,4.0,
166,166,4745,B00005T30M,DVD,8480,4,,157088,238146,544124,546719,9,5.0,51,7,,218.0,199.0,147.0,227.0
167,167,4746,B00005T30H,DVD,34604,5,4749,89503,500568,89500,89498,11,4.5,17,11,57.0,9.0,15.0,10.0,20.0
168,168,4748,B00005T30D,DVD,34509,2,193885,11846,,,,9,2.0,84,4,272.0,33.0,,,
169,169,4749,B00005T30G,DVD,19832,5,4746,89503,500568,89500,89498,20,4.0,57,9,17.0,9.0,15.0,10.0,20.0
171,171,4753,B00005T30I,DVD,5932,2,,374665,,322009,,54,4.5,469,6,,485.0,,492.0,
172,172,4759,B00005T30X,DVD,39084,3,,,417291,509249,528690,8,2.0,166,3,,,270.0,954.0,1693.0
174,174,4763,B00005T30V,DVD,41006,4,217542,546083,9269,,516298,2,3.5,7,8,11.0,11.0,8.0,,34.0
175,175,4765,B00005T30T,DVD,36088,1,,,228840,,,5,4.5,11,2,,,46.0,,
176,176,4767,B00005T30S,DVD,32547,3,,84392,49756,544170,,18,4.0,308,3,,38.0,401.0,53.0,
177,177,4818,B00005T307,DVD,51165,2,,,411831,,81841,1,5.0,12,2,,,72.0,,501.0
178,178,4822,B00005T302,DVD,36441,1,,,,,544392,5,3.0,31,1,,,,,28.0
179,179,4884,630587073X,DVD,43288,4,,445129,544405,151879,548414,6,3.0,35,4,,35.0,81.0,48.0,79.0
180,180,4925,6305505802,DVD,4931,4,547415,,74019,201184,177432,30,4.5,143,6,41.0,,59.0,244.0,260.0
181,181,4927,B00008G4H7,DVD,9167,4,547134,135847,547962,97837,,26,4.5,150,5,697.0,530.0,607.0,1101.0,
182,182,5133,B00005NQH0,DVD,39189,1,544143,,,,,8,2.0,56,2,299.0,,,,
183,183,5205,B0000507OO,DVD,26617,4,117288,117291,,533067,95735,5,3.0,188,7,39.0,63.0,,0.0,158.0
185,185,5357,0783226845,DVD,2391,5,205896,546872,163144,545120,545854,82,4.5,328,11,701.0,25.0,156.0,397.0,158.0
186,186,5384,B00008KGT0,DVD,14700,5,110507,110748,110512,432505,192985,27,4.5,180,11,152.0,217.0,220.0,310.0,305.0
187,187,5415,B00004WC63,DVD,28420,1,,,548228,,,1,5.0,2,1,,,7.0,,
188,188,5466,0792841670,DVD,2727,3,,544908,,256574,252521,30,4.5,162,8,,553.0,,297.0,633.0
189,189,5552,6304604572,DVD,18805,4,,172563,108478,46626,233493,36,3.0,164,4,,61.0,106.0,8.0,74.0
190,190,5568,0780022629,DVD,10830,1,,,,201595,,46,4.0,278,1,,,,362.0,
191,191,5654,0767827929,DVD,3549,3,547674,,,99891,548028,113,4.5,533,6,1488.0,,,405.0,1183.0
192,192,5777,6305771111,DVD,28637,3,544150,,,546781,104198,7,2.5,32,9,57.0,,,68.0,40.0
193,193,5780,6305133476,DVD,7396,5,545007,250627,155613,547040,277410,53,4.0,199,10,120.0,307.0,342.0,355.0,239.0
194,194,5806,630506976X,DVD,21448,3,76326,200259,,535664,,6,4.0,44,6,27.0,102.0,,254.0,
195,195,5808,0783232292,DVD,8396,2,,,544718,,163596,155,3.5,838,4,,,92.0,,59.0
196,196,5916,B00004ZELI,DVD,16140,5,547146,547551,125299,543220,546662,179,5.0,169,11,164.0,98.0,118.0,98.0,95.0
197,197,5931,B00005NVDH,DVD,18641,4,543845,252553,193639,,548310,7,4.5,143,8,0.0,3.0,153.0,,81.0
198,198,5996,630523650X,DVD,3003,5,248548,117295,226254,59460,46626,5,4.5,1,16,201.0,409.0,288.0,129.0,8.0
200,200,6085,B00007KK2J,DVD,20561,2,261521,239439,,,,2,5.0,3,3,223.0,321.0,,,
201,201,6092,B00007KK2H,DVD,5896,3,171970,171972,207285,,,7,5.0,63,6,90.0,535.0,931.0,,
202,202,6255,6305551235,DVD,21645,5,547905,548205,546324,546655,545905,28,4.0,83,8,63.0,25.0,54.0,51.0,54.0
203,203,6292,B00000I1RM,DVD,23702,3,,542759,532305,181291,,13,4.0,27,9,,91.0,31.0,172.0,
204,204,6294,B00000I1RH,DVD,42841,2,153823,,313806,,,14,4.0,33,2,53.0,,128.0,,
205,205,6317,B00007KK28,DVD,28462,3,12631,,542520,,336951,4,3.0,41,3,771.0,,1174.0,,48.0
206,206,6362,B00007D00L,DVD,1371,3,97780,,97789,,546573,19,4.5,387,8,314.0,,1701.0,,1338.0
207,207,6459,1571324941,DVD,7368,1,,,19391,,,10,4.5,66,1,,,34.0,,
209,209,6524,B000067G16,DVD,27721,3,542938,542461,,46557,,8,4.0,45,6,15.0,5.0,,13.0,
210,210,6525,B000067G15,DVD,34273,1,,,82583,,,2,2.5,0,1,,,31.0,,
211,211,6529,B000067G12,DVD,3945,2,,195792,,,195791,13,3.5,113,9,,97.0,,,31.0
213,213,6533,B000067G10,DVD,35538,4,544156,,545463,545428,537998,13,3.5,96,5,322.0,,7.0,29.0,185.0
214,214,6554,B00000JYXB,DVD,34865,2,380880,,,542785,,6,3.0,53,3,7.0,,,748.0,
215,215,6599,B00000JYX8,DVD,34861,2,,,544775,48591,,8,3.5,20,2,,,60.0,88.0,
216,216,6606,B00000JYX6,DVD,11319,3,,44837,542257,195274,,16,4.5,286,22,,336.0,267.0,53.0,
217,217,6609,B00000JYX5,DVD,46028,2,,542257,,6606,,35,3.5,344,2,,267.0,,286.0,
218,218,6611,6305929718,DVD,7694,4,179654,546260,,209114,201184,22,3.5,83,7,179.0,127.0,,252.0,244.0
219,219,6628,B0000509C5,DVD,21411,5,548179,546969,547528,59460,547526,91,3.5,272,5,265.0,50.0,204.0,129.0,90.0
220,220,6630,B0000509C4,DVD,9668,5,117127,547756,59460,546073,144201,68,3.5,179,8,249.0,63.0,129.0,319.0,9.0
221,221,6631,B0000509C1,DVD,15030,4,,547982,23360,230418,536576,334,3.5,2094,4,,1141.0,2287.0,127.0,1421.0
222,222,6635,B0000509C2,DVD,14531,2,,,60173,,81566,17,4.0,113,8,,,101.0,,276.0
223,223,6653,080017948X,DVD,5867,4,544637,545824,242033,253717,,255,4.5,1569,4,426.0,296.0,272.0,818.0,
225,225,6697,B00005V9ID,DVD,31169,2,545752,,144749,,,6,3.5,49,2,273.0,,88.0,,
226,226,6739,B00005V9IK,DVD,15129,3,544139,547952,,,545167,560,3.5,2993,3,3356.0,628.0,,,945.0
227,227,6749,B00004R99Y,DVD,5070,5,6822,200647,6759,6758,6827,48,4.5,199,13,206.0,343.0,502.0,124.0,154.0
228,228,6753,B00004R99Q,DVD,709,4,200647,453361,6821,397268,,81,4.5,328,13,343.0,768.0,361.0,441.0,
229,229,6754,B00004R99S,DVD,2050,3,6760,,,136399,200647,134,4.0,507,6,797.0,,,525.0,343.0
230,230,6756,B00004R99U,DVD,7781,2,6760,218814,,,,56,2.5,283,3,797.0,841.0,,,
231,231,6758,B00004R99H,DVD,5465,5,6822,6749,36781,6827,200647,18,3.5,124,13,206.0,199.0,302.0,154.0,343.0
232,232,6759,B00004R99W,DVD,9710,5,200647,15850,6749,6753,6821,105,3.0,502,7,343.0,253.0,199.0,328.0,361.0
233,233,6760,B00004R99J,DVD,4359,2,,,,104775,18253,144,3.5,797,16,,,,1187.0,1009.0
234,234,6763,B00004R99L,DVD,11119,2,453361,,18253,,,159,4.0,1164,2,768.0,,1009.0,,
235,235,6766,B00004R99O,DVD,6442,5,15850,200647,97206,6753,6821,54,4.0,287,7,253.0,343.0,126.0,328.0,361.0
236,236,6769,B00004R99B,DVD,10628,5,36781,6827,6758,6749,6822,37,3.0,324,7,302.0,154.0,124.0,199.0,206.0
237,237,6774,B00004R99F,DVD,5082,5,543815,6758,210357,6753,15850,73,4.5,112,6,107.0,124.0,230.0,328.0,253.0
238,238,6782,6305308772,DVD,24289,5,545955,547690,544169,59471,143564,77,4.5,300,5,192.0,431.0,131.0,1152.0,583.0
239,239,6815,B00004R999,DVD,3755,4,540224,544890,,293909,407345,415,4.5,970,4,2737.0,413.0,,273.0,1440.0
240,240,6819,B00004R991,DVD,10315,3,,267230,,547730,544290,10,5.0,84,5,,91.0,,277.0,91.0
241,241,6821,B00004R993,DVD,2304,4,453361,6753,397268,,200647,88,4.5,361,10,768.0,328.0,441.0,,343.0
242,242,6822,B00004R995,DVD,6221,5,6827,6749,6758,36781,200647,48,4.0,206,11,154.0,199.0,124.0,302.0,343.0
243,243,6827,B00004R997,DVD,18789,5,6822,6749,6758,36781,6769,21,3.0,154,10,206.0,199.0,124.0,302.0,324.0
244,244,6853,6305907161,DVD,16964,4,36380,27994,238589,,78510,14,3.0,87,7,23.0,14.0,1030.0,,109.0
246,246,6909,B000089QEE,DVD,26246,1,,260552,,,,2,4.0,107,5,,257.0,,,
247,247,7118,B000067J3E,DVD,32776,1,,,,285380,,0,0.0,0,4,,,,0.0,
248,248,7184,1892649551,DVD,36057,2,,7686,165213,,,2,5.0,22,4,,111.0,9.0,,
254,254,7258,B00007M5HB,DVD,10283,4,125433,252239,257360,,501256,7,4.5,64,9,7.0,144.0,26.0,,27.0
257,257,7263,B00007M5HK,DVD,44230,3,39688,265041,546522,,,4,5.0,7,6,24.0,329.0,42.0,,
258,258,7265,B00007M5HU,DVD,31720,2,280556,,,,547142,12,4.5,75,3,142.0,,,,70.0
259,259,7329,6305744815,DVD,45678,5,546134,138550,544863,261516,545236,44,4.5,112,5,112.0,368.0,75.0,266.0,331.0
260,260,7337,B00005B3Z7,DVD,32150,4,544770,546365,546265,,538432,0,0.0,0,7,0.0,12.0,1.0,,518.0
261,261,7338,B00005B3Z6,DVD,5814,2,475725,,,,120422,67,4.5,679,2,175.0,,,,1875.0
263,263,7343,B00005B3Z0,DVD,23890,2,,471305,,548440,,3,2.5,9,5,,199.0,,10.0,
264,264,7344,B00005B3Z1,DVD,28543,2,,,,224724,271817,8,2.5,58,2,,,,22.0,145.0
267,267,7524,B00000JWVS,DVD,88,2,268340,545441,,,,58,4.5,559,6,316.0,38.0,,,
269,269,7587,B00006L9ZY,DVD,8003,2,516266,7590,,,,6,3.0,23,5,37.0,80.0,,,
270,270,7590,B00006L9ZU,DVD,15685,4,516266,,7587,91448,91441,9,4.0,80,7,37.0,,23.0,26.0,55.0
271,271,7591,B00006L9ZT,DVD,9026,1,333187,,,,,51,3.5,905,9,164.0,,,,
272,272,7594,6305871302,DVD,45217,1,,,206688,,,1,4.0,4,1,,,0.0,,
273,273,7640,6305417830,DVD,6306,4,267195,544377,,208395,545390,133,4.0,357,9,884.0,82.0,,1052.0,21.0
274,274,7660,B00005UQ7P,DVD,26273,2,436790,,547325,,,2,4.0,51,3,269.0,,265.0,,
275,275,7681,B00006BS7N,DVD,28263,2,544960,,,,184430,23,3.0,330,2,1176.0,,,,155.0
277,277,7685,B00006BS7R,DVD,21722,3,264548,,,23165,547880,12,4.0,58,4,24.0,,,77.0,48.0
278,278,7686,B00006BS7S,DVD,14734,2,163837,,,,97837,20,5.0,111,6,137.0,,,,1101.0
279,279,7687,B00006BS7P,DVD,15979,1,,,,,544960,93,4.5,1016,1,,,,,1176.0
280,280,7689,B00006BS7Q,DVD,3947,3,138784,544960,184430,,,15,4.5,323,7,904.0,1176.0,155.0,,
